merged_gene	n_samples_in_tsv	n_models_found	n_missing_samples	sample_prefixes	missing_sample_prefixes
A2a	2	2	0	A2a-1-i7;A2a-2-i7	
A2b	2	2	0	A2b-1-i7;A2b-2-i7	
A3a	2	2	0	A3a-1-i7;A3a-2-i7	
A3b	2	2	0	A3b-1-i7;A3b-2-i7	
A4a	2	2	0	A4a-1-i7;A4a-2-i7	
A4b	2	2	0	A4b-1-i7;A4b-2-i7	
AmTR	4	2	2	AmTR-1-i7;AmTR-1-plate3;AmTR-2-i7;AmTR-2-plate3	AmTR-1-i7;AmTR-2-i7
AmtRH	2	2	0	AmtRH-1-plate4;AmtRH-2-plate4	
AmtRpl5	2	2	0	AmtRpl5-1;AmtRpl5-2	
AmtRpl6	2	2	0	AmtRpl6-1;AmtRpl6-2	
AmtRpl7	2	2	0	AmtRpl7-1;AmtRpl7-2	
AmtRpl8	2	2	0	AmtRpl8-1;AmtRpl8-2	
Cg0877	2	2	0	Cg0877-1-i7;Cg0877-2-i7	
Cgl0001	2	2	0	Cgl0001-1;Cgl0001-2	
Cgl0010	2	2	0	Cgl0010-1;Cgl0010-2	
Cgl0016	3	3	0	Cgl0016;Cgl0016-1;Cgl0016-2	
Cgl0037	2	2	0	Cgl0037-1;Cgl0037-2	
Cgl0069	2	2	0	Cgl0069-1;Cgl0069-2	
Cgl0111	2	2	0	Cgl0111-1-i7;Cgl0111-2-i7	
Cgl0121	2	2	0	Cgl0121-1-i7;Cgl0121-2-i7	
Cgl0157	2	2	0	Cgl0157-1;Cgl0157-2	
Cgl0170	2	2	0	Cgl0170-1-i7;Cgl0170-2-i7	
Cgl0176	3	3	0	Cgl0176;Cgl0176-1-i7;Cgl0176-2-i7	
Cgl0179	4	3	1	Cgl0179-1;Cgl0179-1-i7;Cgl0179-2;Cgl0179-2-i7	Cgl0179-2-i7
Cgl0221	2	2	0	Cgl0221-1-i7;Cgl0221-2-i7	
Cgl0254	2	2	0	Cgl0254-1;Cgl0254-2	
