cgl_locus,cg_locus,gene_name,product
Cgl0419,cg0499,,Bacterial Pleckstrin homology domain-containing protein
Cgl1715,cg1931,,DUF732 domain-containing protein
Cgl0602,cg0698,,DUF5319 domain-containing protein
Cgl2368,cg2601,,Pirin-related protein
Cgl1838,cg2059,,Secreted protein
Cgl2782,cg3082,,Predicted transcriptional regulators
Cgl2242,cg2461,tnp4a(ISCg4a),Transposase DDE domain-containing protein
Cgl0622,cg0719,crtYe,C50 carotenoid epsilon cyclase
Cgl2779,cg3078,,DUF4265 domain-containing protein
Cgl0879,cg1001,mscL,Large-conductance mechanosensitive channel
Cgl2370,cg2603,ndk,Nucleoside diphosphate kinase (NDK) (NDP kinase) (EC 2.7.4.6) (Nucleoside-2-P kinase)
Cgl2494,cg2741,,Uncharacterized protein
Cgl1213,cg1369,atpC,ATP synthase epsilon chain (ATP synthase F1 sector epsilon subunit) (F-ATPase epsilon subunit)
Cgl1816,cg2036,,Uncharacterized protein
Cgl0972,cg1109,porB,PorB
Cgl2957,,,Hypothetical membrane protein
Cgl0066,cg0087,,Hypothetical membrane protein
Cgl1092,cg1242,,Hypothetical membrane protein
Cgl2048,cg2247,,Uncharacterized protein
Cgl1239,cg1396,,Uncharacterized protein
Cgl0539,cg0630,rplR,Large ribosomal subunit protein uL18 (50S ribosomal protein L18)
Cgl2225,cg2443,,Hypothetical membrane protein
Cgl0135,cg0172,panD,Aspartate 1-decarboxylase (EC 4.1.1.11) (Aspartate alpha-decarboxylase) [Cleaved into: Aspartate 1-decarboxylase beta chain; Aspartate 1-decarboxylase alpha chain]
Cgl2601,cg2880,,Diadenosine tetraphosphate (Ap4A) hydrolase and other HIT family hydrolases
Cgl2253,cg4003,,Uncharacterized protein
Cgl1043,cg1185,tnp10b(ISCg10a),Transposase IS204/IS1001/IS1096/IS1165 DDE domain-containing protein
Cgl1169,cg1321,atoE,Short chain fatty acids transporter
Cgl0268,cg0325,,Multisubunit Na+/H+ antiporter
Cgl0486,cg0573,rplL,Large ribosomal subunit protein bL12 (50S ribosomal protein L7/L12)
Cgl0745,cg0853,,DUF3499 domain-containing protein
Cgl2448,cg2689,glbO,Hemoglobin-like proteins
Cgl0195,cg0243,,Hypothetical membrane protein
Cgl0562,cg0653,rpsK,Small ribosomal subunit protein uS11 (30S ribosomal protein S11)
Cgl0152,cg0191,,Translation initiation inhibitor
Cgl2561,,,Uncharacterized protein
Cgl0703,cg0807,,DUF3151 domain-containing protein
Cgl3091,cg3423,trxC,Thioredoxin
Cgl1347,cg1519,,Uncharacterized protein
Cgl1513,cg1708,,Uncharacterized protein
Cgl0820,cg0938,,Cold shock proteins
Cgl0685,cg0787,,Predicted transcriptional regulators
Cgl2421,,,Uncharacterized protein
Cgl1000,cg1136,,Uncharacterized protein
Cgl2703,cg2991,,Hypothetical membrane protein
Cgl2924,cg3234,,Metal-dependent amidase/aminoacylase/carboxypeptidase
Cgl0318,cg0386,bglS,Hypothetical membrane protein
Cgl0451,cg0534,,Predicted membrane protein
Cgl0900,cg1024,tnp7a(ISCg7a),Transposase IS204/IS1001/IS1096/IS1165 DDE domain-containing protein
Cgl0324,cg0393,,Hypothetical membrane protein
Cgl1744,cg1964,,Uncharacterized protein
Cgl1767,cg1987,,Tail assembly chaperone
Cgl0927,cg1057,,Uncharacterized protein
Cgl2337,cg2567,,Uncharacterized protein
Cgl2693,cg2981,folX,"7,8-dihydroneopterin aldolase (EC 4.1.2.25)"
Cgl2219,cg2435,,Translation initiation inhibitor
Cgl3098,cg3431,rnpA,Ribonuclease P protein component (RNase P protein) (RNaseP protein) (EC 3.1.26.5) (Protein C5)
Cgl1393,cg1579,,Uncharacterized protein
Cgl0743,cg0850,whiB2(whcD),Transcriptional regulator WhiB
Cgl1624,cg1830,,"Signal peptidase, cleaves prepilin-like proteins (EC 3.4.-.-)"
Cgl0228,cg0281,,tRNA-specific adenosine deaminase (EC 3.5.4.33)
Cgl0697,cg0799,,Uncharacterized protein
Cgl1552,cg1750,,Putative host cell surface-exposed lipoprotein Ltp-like HTH region domain-containing protein
Cgl2244,cg2462,,Transcriptional regulator
Cgl1371,cg1552,qorR,Predicted transcriptional regulators
Cgl0169,cg0209,,Uncharacterized protein
Cgl0621,cg0718,crtYf,C50 carotenoid epsilon cyclase
Cgl1062,cg1208,,Osmotically inducible protein C
Cgl2216,cg2431,,"Uncharacterized ACR, double-stranded beta-helix domain"
Cgl0140,cg0177,,Uncharacterized protein
Cgl0848,cg0970,,Uncharacterized membrane protein
Cgl2704,cg2992,,DUF4247 domain-containing protein
