tf,target,tf_name,target_name,correlation,abs_correlation,pvalue,sample_count,source
cg0014,cg1151,,ssiE,0.66631967,0.66631967,1.480583e-47,360,Kranz2022_expression_compendium_Zenodo6842664
cg0014,cg1152,,ssiF,0.63003113,0.63003113,7.4450303e-46,402,Kranz2022_expression_compendium_Zenodo6842664
cg0014,cg1298,,cydC,0.71629437,0.71629437,4.5096327e-92,578,Kranz2022_expression_compendium_Zenodo6842664
cg0014,cg1303,,,0.4338525,0.4338525,2.1556225e-30,632,Kranz2022_expression_compendium_Zenodo6842664
cg0014,cg1307,,,0.31440172,0.31440172,2.7467556e-16,646,Kranz2022_expression_compendium_Zenodo6842664
cg0014,cg1380,,ssuA,0.57127766,0.57127766,4.5863369e-52,586,Kranz2022_expression_compendium_Zenodo6842664
cg0014,cg1560,,uvrA,0.7311699,0.7311699,4.4114199e-88,520,Kranz2022_expression_compendium_Zenodo6842664
cg0014,cg1562,,,0.67540221,0.67540221,3.1981947e-78,578,Kranz2022_expression_compendium_Zenodo6842664
cg0014,cg1564,,rpmI,0.36797305,0.36797305,2.8409195e-22,650,Kranz2022_expression_compendium_Zenodo6842664
cg0019,cg0018,,,0.5842722,0.5842722,2.0606323e-31,328,Kranz2022_expression_compendium_Zenodo6842664
cg0067,cg0071,gabD3,,0.46694429,0.46694429,1.2225953e-13,226,Kranz2022_expression_compendium_Zenodo6842664
cg0067,cg0072,gabD3,,0.58787937,0.58787937,2.8912932e-59,624,Kranz2022_expression_compendium_Zenodo6842664
cg0067,cg0073,gabD3,,0.48832082,0.48832082,6.1368912e-21,326,Kranz2022_expression_compendium_Zenodo6842664
cg0119,cg0088,ureD,citP,0.66884216,0.66884216,4.2710834e-65,492,Kranz2022_expression_compendium_Zenodo6842664
cg0119,cg3125,ureD,,0.69161469,0.69161469,1.1867909e-91,636,Kranz2022_expression_compendium_Zenodo6842664
cg0119,cg3126,ureD,,0.74322755,0.74322755,6.3961934e-88,494,Kranz2022_expression_compendium_Zenodo6842664
cg0119,cg3127,ureD,,0.71793381,0.71793381,4.8570474e-98,612,Kranz2022_expression_compendium_Zenodo6842664
cg0146,cg0143,atlR,mtlD,0.59489474,0.59489474,1.2978734e-60,620,Kranz2022_expression_compendium_Zenodo6842664
cg0146,cg0144,atlR,rbtT,0.8499206,0.8499206,1.9135125e-172,614,Kranz2022_expression_compendium_Zenodo6842664
cg0146,cg0147,atlR,xylB,0.90491363,0.90491363,1.8600405e-231,620,Kranz2022_expression_compendium_Zenodo6842664
cg0146,cg0179,atlR,,0.82071297,0.82071297,1.9607769e-131,534,Kranz2022_expression_compendium_Zenodo6842664
cg0146,cg0350,atlR,glxR,0.51628833,0.51628833,3.2634991e-44,630,Kranz2022_expression_compendium_Zenodo6842664
cg0146,cg3107,atlR,adhA,0.38537585,0.38537585,1.5856346e-23,624,Kranz2022_expression_compendium_Zenodo6842664
cg0147,cg0113,xylB,ureA,0.78341231,0.78341231,9.1531362e-154,736,Kranz2022_expression_compendium_Zenodo6842664
cg0147,cg0115,xylB,ureC,0.81408631,0.81408631,3.0691036e-178,748,Kranz2022_expression_compendium_Zenodo6842664
cg0147,cg0117,xylB,ureF,0.787106,0.787106,6.0323565e-139,654,Kranz2022_expression_compendium_Zenodo6842664
cg0147,cg0119,xylB,ureD,0.81501285,0.81501285,9.9409565e-165,688,Kranz2022_expression_compendium_Zenodo6842664
