gsm_accession,filename,size_bytes,qc_status,strain,notes
GSM5197020,GSM5197020_0001_.gpr.gz,1025110,PASS,ATCC13032,Compendium sub-sample
GSM5197021,GSM5197021_0002_.gpr.gz,1077674,PASS,ATCC13032,Compendium sub-sample
GSM5197022,GSM5197022_0003_.gpr.gz,1076037,PASS,ATCC13032,Compendium sub-sample
GSM5197023,GSM5197023_0004_.gpr.gz,1070574,PASS,ATCC13032,Compendium sub-sample
GSM5197024,GSM5197024_0005_.gpr.gz,985582,PASS,ATCC13032,Compendium sub-sample
GSM5197025,GSM5197025_0006_.gpr.gz,1004644,PASS,ATCC13032,Compendium sub-sample
GSM5197026,GSM5197026_0007_.gpr.gz,1023367,PASS,ATCC13032,Compendium sub-sample
GSM5197027,GSM5197027_0008_.gpr.gz,4200546,PASS,ATCC13032,Compendium sub-sample
GSM5197028,GSM5197028_0009_.gpr.gz,2163931,PASS,ATCC13032,Compendium sub-sample
GSM5197029,GSM5197029_0010_.gpr.gz,4407661,PASS,ATCC13032,Compendium sub-sample
GSM5197030,GSM5197030_0011_.gpr.gz,4431221,PASS,ATCC13032,Compendium sub-sample
GSM5197031,GSM5197031_0012_.gpr.gz,4407661,PASS,ATCC13032,Compendium sub-sample
GSM5197032,GSM5197032_0013_.gpr.gz,3974105,PASS,ATCC13032,Compendium sub-sample
GSM5197033,GSM5197033_0014_.gpr.gz,1018322,PASS,ATCC13032,Compendium sub-sample
GSM5197034,GSM5197034_0015_.gpr.gz,959857,PASS,ATCC13032,Compendium sub-sample
GSM5197035,GSM5197035_0016_.gpr.gz,965434,PASS,ATCC13032,Compendium sub-sample
GSM5197036,GSM5197036_0017_.gpr.gz,4302030,PASS,ATCC13032,Compendium sub-sample
GSM5197037,GSM5197037_0018_.gpr.gz,4412317,PASS,ATCC13032,Compendium sub-sample
GSM5197038,GSM5197038_0019_.gpr.gz,4406968,PASS,ATCC13032,Compendium sub-sample
GSM5197039,GSM5197039_0020_.gpr.gz,4299623,PASS,ATCC13032,Compendium sub-sample
GSM5197040,GSM5197040_0021_.gpr.gz,3744910,PASS,ATCC13032,Compendium sub-sample
GSM5197041,GSM5197041_0022_.gpr.gz,4392653,PASS,ATCC13032,Compendium sub-sample
GSM5197042,GSM5197042_0023_.gpr.gz,4339687,PASS,ATCC13032,Compendium sub-sample
GSM5197043,GSM5197043_0024_.gpr.gz,4192306,PASS,ATCC13032,Compendium sub-sample
GSM5197044,GSM5197044_0025_.gpr.gz,1022753,PASS,ATCC13032,Compendium sub-sample
GSM5197045,GSM5197045_0026_.gpr.gz,1032138,PASS,ATCC13032,Compendium sub-sample
GSM5197046,GSM5197046_0027_.gpr.gz,1065544,PASS,ATCC13032,Compendium sub-sample
GSM5197047,GSM5197047_0028_.gpr.gz,547168,PASS,ATCC13032,Compendium sub-sample
GSM5197048,GSM5197048_0029_.gpr.gz,545272,PASS,ATCC13032,Compendium sub-sample
GSM5197049,GSM5197049_0030_.gpr.gz,999169,PASS,ATCC13032,Compendium sub-sample
GSM5197050,GSM5197050_0031_.gpr.gz,993155,PASS,ATCC13032,Compendium sub-sample
GSM5197051,GSM5197051_0032_.gpr.gz,1051022,PASS,ATCC13032,Compendium sub-sample
GSM5197052,GSM5197052_0033_.gpr.gz,1050650,PASS,ATCC13032,Compendium sub-sample
GSM5197053,GSM5197053_0034_.gpr.gz,1095987,PASS,ATCC13032,Compendium sub-sample
GSM5197054,GSM5197054_0035_.gpr.gz,1062328,PASS,ATCC13032,Compendium sub-sample
GSM5197055,GSM5197055_0036_.gpr.gz,1001648,PASS,ATCC13032,Compendium sub-sample
GSM5197056,GSM5197056_0037_.gpr.gz,4115951,PASS,ATCC13032,Compendium sub-sample
GSM5197057,GSM5197057_0038_.gpr.gz,4056023,PASS,ATCC13032,Compendium sub-sample
GSM5197058,GSM5197058_0039_.gpr.gz,4023452,PASS,ATCC13032,Compendium sub-sample
GSM5197059,GSM5197059_0040_.gpr.gz,4130823,PASS,ATCC13032,Compendium sub-sample
GSM5197060,GSM5197060_0041_.gpr.gz,3844252,PASS,ATCC13032,Compendium sub-sample
GSM5197061,GSM5197061_0042_.gpr.gz,3967956,PASS,ATCC13032,Compendium sub-sample
GSM5197062,GSM5197062_0043_.gpr.gz,3711236,PASS,ATCC13032,Compendium sub-sample
GSM5197063,GSM5197063_0044_.gpr.gz,3630726,PASS,ATCC13032,Compendium sub-sample
GSM5197064,GSM5197064_0045_.gpr.gz,3825072,PASS,ATCC13032,Compendium sub-sample
GSM5197065,GSM5197065_0046_.gpr.gz,4040360,PASS,ATCC13032,Compendium sub-sample
GSM5197066,GSM5197066_0047_.gpr.gz,4109160,PASS,ATCC13032,Compendium sub-sample
GSM5197067,GSM5197067_0048_.gpr.gz,3847710,PASS,ATCC13032,Compendium sub-sample
GSM5197068,GSM5197068_0049_.gpr.gz,417232,LOW_SIZE_WARN,ATCC13032,Compendium sub-sample
GSM5197069,GSM5197069_0050_.gpr.gz,404794,LOW_SIZE_WARN,ATCC13032,Compendium sub-sample
GSM5197070,GSM5197070_0051_.gpr.gz,427773,LOW_SIZE_WARN,ATCC13032,Compendium sub-sample
GSM5197071,GSM5197071_0052_.gpr.gz,428571,LOW_SIZE_WARN,ATCC13032,Compendium sub-sample
GSM5197072,GSM5197072_0053_.gpr.gz,421068,LOW_SIZE_WARN,ATCC13032,Compendium sub-sample
GSM5197073,GSM5197073_0054_.gpr.gz,427794,LOW_SIZE_WARN,ATCC13032,Compendium sub-sample
GSM5197074,GSM5197074_0055_.gpr.gz,1048182,PASS,ATCC13032,Compendium sub-sample
GSM5197075,GSM5197075_0056_.gpr.gz,1102995,PASS,ATCC13032,Compendium sub-sample
GSM5197076,GSM5197076_0057_.gpr.gz,1079929,PASS,ATCC13032,Compendium sub-sample
GSM5197077,GSM5197077_0058_.gpr.gz,1038687,PASS,ATCC13032,Compendium sub-sample
GSM5197078,GSM5197078_0059_.gpr.gz,1046758,PASS,ATCC13032,Compendium sub-sample
GSM5197079,GSM5197079_0060_.gpr.gz,407303,LOW_SIZE_WARN,ATCC13032,Compendium sub-sample
GSM5197080,GSM5197080_0061_.gpr.gz,356131,LOW_SIZE_WARN,ATCC13032,Compendium sub-sample
GSM5197081,GSM5197081_0062_.gpr.gz,388061,LOW_SIZE_WARN,ATCC13032,Compendium sub-sample
GSM5197082,GSM5197082_0063_.gpr.gz,415673,LOW_SIZE_WARN,ATCC13032,Compendium sub-sample
GSM5197083,GSM5197083_0064_.gpr.gz,394190,LOW_SIZE_WARN,ATCC13032,Compendium sub-sample
GSM5197084,GSM5197084_0065_.gpr.gz,380536,LOW_SIZE_WARN,ATCC13032,Compendium sub-sample
GSM5197085,GSM5197085_0066_.gpr.gz,418967,LOW_SIZE_WARN,ATCC13032,Compendium sub-sample
GSM5197086,GSM5197086_0067_.gpr.gz,400865,LOW_SIZE_WARN,ATCC13032,Compendium sub-sample
GSM5197087,GSM5197087_0068_.gpr.gz,376997,LOW_SIZE_WARN,ATCC13032,Compendium sub-sample
GSM5197088,GSM5197088_0069_.gpr.gz,1007068,PASS,ATCC13032,Compendium sub-sample
GSM5197089,GSM5197089_0070_.gpr.gz,954901,PASS,ATCC13032,Compendium sub-sample
GSM5197090,GSM5197090_0071_.gpr.gz,980694,PASS,ATCC13032,Compendium sub-sample
GSM5197091,GSM5197091_0072_.gpr.gz,1017321,PASS,ATCC13032,Compendium sub-sample
GSM5197092,GSM5197092_0073_.gpr.gz,1023194,PASS,ATCC13032,Compendium sub-sample
GSM5197093,GSM5197093_0074_.gpr.gz,1017276,PASS,ATCC13032,Compendium sub-sample
GSM5197094,GSM5197094_0075_.gpr.gz,9057252,PASS,ATCC13032,Compendium sub-sample
GSM5197095,GSM5197095_0076_.gpr.gz,990011,PASS,ATCC13032,Compendium sub-sample
GSM5197096,GSM5197096_0077_.gpr.gz,979423,PASS,ATCC13032,Compendium sub-sample
GSM5197097,GSM5197097_0078_.gpr.gz,900437,PASS,ATCC13032,Compendium sub-sample
GSM5197098,GSM5197098_0079_.gpr.gz,999221,PASS,ATCC13032,Compendium sub-sample
GSM5197099,GSM5197099_0080_.gpr.gz,992847,PASS,ATCC13032,Compendium sub-sample
GSM5197100,GSM5197100_0081_.gpr.gz,1035550,PASS,ATCC13032,Compendium sub-sample
GSM5197101,GSM5197101_0082_.gpr.gz,984566,PASS,ATCC13032,Compendium sub-sample
GSM5197102,GSM5197102_0083_.gpr.gz,861585,PASS,ATCC13032,Compendium sub-sample
GSM5197103,GSM5197103_0084_.gpr.gz,4150547,PASS,ATCC13032,Compendium sub-sample
GSM5197104,GSM5197104_0085_.gpr.gz,4343185,PASS,ATCC13032,Compendium sub-sample
GSM5197105,GSM5197105_0086_.gpr.gz,4122394,PASS,ATCC13032,Compendium sub-sample
GSM5197106,GSM5197106_0087_.gpr.gz,491096,LOW_SIZE_WARN,ATCC13032,Compendium sub-sample
GSM5197107,GSM5197107_0088_.gpr.gz,511467,PASS,ATCC13032,Compendium sub-sample
GSM5197108,GSM5197108_0089_.gpr.gz,907519,PASS,ATCC13032,Compendium sub-sample
GSM5197109,GSM5197109_0090_.gpr.gz,916336,PASS,ATCC13032,Compendium sub-sample
GSM5197110,GSM5197110_0091_.gpr.gz,1130658,PASS,ATCC13032,Compendium sub-sample
GSM5197111,GSM5197111_0092_.gpr.gz,1089270,PASS,ATCC13032,Compendium sub-sample
GSM5197112,GSM5197112_0093_.gpr.gz,1047864,PASS,ATCC13032,Compendium sub-sample
GSM5197113,GSM5197113_0094_.gpr.gz,952532,PASS,ATCC13032,Compendium sub-sample
GSM5197114,GSM5197114_0095_.gpr.gz,958120,PASS,ATCC13032,Compendium sub-sample
GSM5197115,GSM5197115_0096_.gpr.gz,826493,PASS,ATCC13032,Compendium sub-sample
GSM5197116,GSM5197116_0097_.gpr.gz,954236,PASS,ATCC13032,Compendium sub-sample
GSM5197117,GSM5197117_0098_.gpr.gz,1020650,PASS,ATCC13032,Compendium sub-sample
GSM5197118,GSM5197118_0099_.gpr.gz,913033,PASS,ATCC13032,Compendium sub-sample
GSM5197119,GSM5197119_0100_.gpr.gz,862330,PASS,ATCC13032,Compendium sub-sample
GSM5197120,GSM5197120_0101_.gpr.gz,995220,PASS,ATCC13032,Compendium sub-sample
GSM5197121,GSM5197121_0102_.gpr.gz,4165723,PASS,ATCC13032,Compendium sub-sample
GSM5197122,GSM5197122_0103_.gpr.gz,4157509,PASS,ATCC13032,Compendium sub-sample
