gene,model,reaction_id,reaction_name,equation,gpr_rule,pathway_id,pathway_name,ec_number,kcat,molecular_weight,kcat_MW,source_file
0341,iCW773,R_FACOAL100t2pp,Fatty-acid-CoA ligase (decanoate transport via vectoral Co-A coupling),,0341 cg0480 cg2521,_2f1a7ecb_0ed8_40a3_a4c5_1ef326e05292,Cell Envelope Biosynthesis,,,,,iCW773.omex
0341,iCW773,R_FACOAL120t2pp,Fatty-acid-CoA ligase (dodecanoate transport via vectoral Co-A coupling),,0341 cg0480 cg2521,_2f1a7ecb_0ed8_40a3_a4c5_1ef326e05292,Cell Envelope Biosynthesis,,,,,iCW773.omex
0341,iCW773,R_FACOAL140t2pp,Fatty-acid-CoA ligase (tetradecanoate transport via vectoral Co-A coupling),,0341 cg0480 cg2521,_2f1a7ecb_0ed8_40a3_a4c5_1ef326e05292,Cell Envelope Biosynthesis,,,,,iCW773.omex
0341,iCW773,R_FACOAL141t2pp,Fatty-acid-CoA ligase (tetradecenoate transport via vectoral Co-A coupling),,0341 cg0480 cg2521,_2f1a7ecb_0ed8_40a3_a4c5_1ef326e05292,Cell Envelope Biosynthesis,,,,,iCW773.omex
0341,iCW773,R_FACOAL160t2pp,Fatty-acid-CoA ligase (hexadecanoate transport via vectoral Co-A coupling),,0341 cg0480 cg2521,_2f1a7ecb_0ed8_40a3_a4c5_1ef326e05292,Cell Envelope Biosynthesis,,,,,iCW773.omex
0341,iCW773,R_FACOAL161t2pp,Fatty-acid-CoA ligase (hexadecenoate transport via vectoral Co-A coupling),,0341 cg0480 cg2521,_2f1a7ecb_0ed8_40a3_a4c5_1ef326e05292,Cell Envelope Biosynthesis,,,,,iCW773.omex
0341,iCW773,R_FACOAL180t2pp,Fatty-acid-CoA ligase (octadecanoate transport via vectoral Co-A coupling),,0341 cg0480 cg2521,_2f1a7ecb_0ed8_40a3_a4c5_1ef326e05292,Cell Envelope Biosynthesis,,,,,iCW773.omex
0341,iCW773,R_FACOAL181t2pp,Fatty-acid-CoA ligase (octadecenoate transport via vectoral Co-A coupling),,0341 cg0480 cg2521,_2f1a7ecb_0ed8_40a3_a4c5_1ef326e05292,Cell Envelope Biosynthesis,,,,,iCW773.omex
0341,iCW773,R_FACOAL60t2pp,Fatty-acid-CoA ligase (hexanoate transport via vectoral Co-A coupling),,0341 cg0480 cg2521,_2f1a7ecb_0ed8_40a3_a4c5_1ef326e05292,Cell Envelope Biosynthesis,,,,,iCW773.omex
0341,iCW773,R_FACOAL80t2pp,Fatty-acid-CoA ligase (octanoate transport via vectoral Co-A coupling),,0341 cg0480 cg2521,_2f1a7ecb_0ed8_40a3_a4c5_1ef326e05292,Cell Envelope Biosynthesis,,,,,iCW773.omex
