Operon,Orientation,Genes
>OP_CAQU_RS02965,-,CAQU_RS02965,CAQU_RS02960
>OP_CAQU_RS01350,+,CAQU_RS01350,CAQU_RS01355
>OP_CAQU_RS05870,+,CAQU_RS05870,CAQU_RS05875
>OP_CAQU_RS05490,+,CAQU_RS05490,CAQU_RS05495
>OP_CAQU_RS09615,-,CAQU_RS09615,CAQU_RS09610,CAQU_RS09605
>OP_CAQU_RS08310,+,CAQU_RS08310,CAQU_RS08315
>OP_CAQU_RS05840,+,CAQU_RS05840,CAQU_RS05845,CAQU_RS05850
>OP_CAQU_RS10270,-,CAQU_RS10270,CAQU_RS10265
>OP_CAQU_RS02390,+,CAQU_RS02390,CAQU_RS02395
>OP_CAQU_RS04540,+,CAQU_RS04540,CAQU_RS04545,CAQU_RS04550
>OP_CAQU_RS02175,-,CAQU_RS02175,CAQU_RS02170
>OP_CAQU_RS06670,-,CAQU_RS06670,CAQU_RS06665,CAQU_RS06660
>OP_CAQU_RS09350,-,CAQU_RS09350,CAQU_RS09345
>OP_CAQU_RS06315,+,CAQU_RS06315,CAQU_RS06320
>OP_CAQU_RS04825,+,CAQU_RS04825,CAQU_RS04830,CAQU_RS04835,CAQU_RS04840
>OP_CAQU_RS10155,-,CAQU_RS10155,CAQU_RS10150,CAQU_RS10145
>OP_CAQU_RS06835,-,CAQU_RS06835,CAQU_RS06830
>OP_CAQU_RS12245,+,CAQU_RS12245,CAQU_RS12250
>OP_CAQU_RS08115,-,CAQU_RS08115,CAQU_RS08110
>OP_CAQU_RS08740,+,CAQU_RS08740,CAQU_RS08745
>OP_CAQU_RS02675,+,CAQU_RS02675,CAQU_RS02680,CAQU_RS02685
>OP_CAQU_RS00955,-,CAQU_RS00955,CAQU_RS00950
>OP_CAQU_RS05910,+,CAQU_RS05910,CAQU_RS05915
>OP_CAQU_RS07820,+,CAQU_RS07820,CAQU_RS07825,CAQU_RS07830
>OP_CAQU_RS01660,-,CAQU_RS01660,CAQU_RS01655,CAQU_RS01650,CAQU_RS01645
>OP_CAQU_RS01045,+,CAQU_RS01045,CAQU_RS01050
>OP_CAQU_RS07770,-,CAQU_RS07770,CAQU_RS07765
>OP_CAQU_RS03730,+,CAQU_RS03730,CAQU_RS03735
>OP_CAQU_RS05760,+,CAQU_RS05760,CAQU_RS05765
>OP_CAQU_RS01745,+,CAQU_RS01745,CAQU_RS01750
>OP_CAQU_RS00785,-,CAQU_RS00785,CAQU_RS00780,CAQU_RS00775
