Operon,Orientation,Genes
>OP_CEPID_RS00010,+,CEPID_RS00010,CEPID_RS00015,CEPID_RS00020
>OP_CEPID_RS00035,+,CEPID_RS00035,CEPID_RS12650,CEPID_RS00045,CEPID_RS00050
>OP_CEPID_RS00065,-,CEPID_RS00065,CEPID_RS00060
>OP_CEPID_RS00070,+,CEPID_RS00070,CEPID_RS00075
>OP_CEPID_RS00095,-,CEPID_RS00095,CEPID_RS00090
>OP_CEPID_RS00110,-,CEPID_RS00110,CEPID_RS00105
>OP_CEPID_RS12655,+,CEPID_RS12655,CEPID_RS00140,CEPID_RS00145,CEPID_RS00150,CEPID_RS00155,CEPID_RS00160
>OP_CEPID_RS00170,+,CEPID_RS00170,CEPID_RS00180,CEPID_RS12660
>OP_CEPID_RS00225,-,CEPID_RS00225,CEPID_RS00220,CEPID_RS00215,CEPID_RS00210,CEPID_RS00205,CEPID_RS00200,CEPID_RS00195
>OP_CEPID_RS00255,-,CEPID_RS00255,CEPID_RS00250,CEPID_RS00245
>OP_CEPID_RS00265,+,CEPID_RS00265,CEPID_RS00270
>OP_CEPID_RS00285,-,CEPID_RS00285,CEPID_RS00280
>OP_CEPID_RS00305,-,CEPID_RS00305,CEPID_RS00300
>OP_CEPID_RS00340,-,CEPID_RS00340,CEPID_RS12670
>OP_CEPID_RS00345,+,CEPID_RS00345,CEPID_RS00350,CEPID_RS00355,CEPID_RS00360
>OP_CEPID_RS00365,+,CEPID_RS00365,CEPID_RS00370,CEPID_RS00375
>OP_CEPID_RS00385,+,CEPID_RS00385,CEPID_RS00390
>OP_CEPID_RS00400,-,CEPID_RS00400,CEPID_RS00395
>OP_CEPID_RS00405,+,CEPID_RS00405,CEPID_RS00410
>OP_CEPID_RS00430,-,CEPID_RS00430,CEPID_RS00425,CEPID_RS00420
>OP_CEPID_RS00435,+,CEPID_RS00435,CEPID_RS00440
>OP_CEPID_RS00455,-,CEPID_RS00455,CEPID_RS00450,CEPID_RS00445
>OP_CEPID_RS00475,-,CEPID_RS00475,CEPID_RS12680
>OP_CEPID_RS12685,+,CEPID_RS12685,CEPID_RS00490,CEPID_RS00495,CEPID_RS00500
>OP_CEPID_RS00540,-,CEPID_RS00540,CEPID_RS00535
>OP_CEPID_RS00550,-,CEPID_RS00550,CEPID_RS00545
>OP_CEPID_RS00580,-,CEPID_RS00580,CEPID_RS00575,CEPID_RS00570,CEPID_RS00565
>OP_CEPID_RS00595,+,CEPID_RS00595,CEPID_RS00600
>OP_CEPID_RS00605,+,CEPID_RS00605,CEPID_RS00610
>OP_CEPID_RS00630,+,CEPID_RS00630,CEPID_RS00635
>OP_CEPID_RS00645,+,CEPID_RS00645,CEPID_RS00650,CEPID_RS00655
>OP_CEPID_RS00660,+,CEPID_RS00660,CEPID_RS00665
>OP_CEPID_RS00670,+,CEPID_RS00670,CEPID_RS00675
>OP_CEPID_RS00685,+,CEPID_RS00685,CEPID_RS12340
>OP_CEPID_RS00710,-,CEPID_RS00710,CEPID_RS00705
>OP_CEPID_RS00715,+,CEPID_RS00715,CEPID_RS00720,CEPID_RS00725
>OP_CEPID_RS00750,+,CEPID_RS00750,CEPID_RS00755
>OP_CEPID_RS00785,+,CEPID_RS00785,CEPID_RS00790
>OP_CEPID_RS00800,-,CEPID_RS00800,CEPID_RS00795
>OP_CEPID_RS00815,+,CEPID_RS00815,CEPID_RS12695
