Operon,Orientation,Genes
>OP_CpT1_RS00015,+,CpT1_RS00015,CpT1_RS00020
>OP_CpT1_RS00040,-,CpT1_RS00040,CpT1_RS00035
>OP_CpT1_RS00045,+,CpT1_RS00045,CpT1_RS00050
>OP_CpT1_RS00085,+,CpT1_RS00085,CpT1_RS00090,CpT1_RS00095
>OP_CpT1_RS00145,-,CpT1_RS00145,CpT1_RS00140,CpT1_RS00135
>OP_CpT1_RS00185,-,CpT1_RS00185,CpT1_RS00180,CpT1_RS00175,CpT1_RS00170,CpT1_RS00165,CpT1_RS00160
>OP_CpT1_RS00210,-,CpT1_RS00210,CpT1_RS00205
>OP_CpT1_RS00225,-,CpT1_RS00225,CpT1_RS00220,CpT1_RS00215
>OP_CpT1_RS00260,-,CpT1_RS00260,CpT1_RS00255
>OP_CpT1_RS00290,-,CpT1_RS00290,CpT1_RS00285,CpT1_RS00280
>OP_CpT1_RS00300,+,CpT1_RS00300,CpT1_RS00305
>OP_CpT1_RS00345,+,CpT1_RS00345,CpT1_RS00350
>OP_CpT1_RS00375,+,CpT1_RS00375,CpT1_RS00380,CpT1_RS00385
>OP_CpT1_RS00405,+,CpT1_RS00405,CpT1_RS00410
>OP_CpT1_RS00425,+,CpT1_RS00425,CpT1_RS00430
>OP_CpT1_RS00435,+,CpT1_RS00435,CpT1_RS00440,CpT1_RS00445,CpT1_RS00450,CpT1_RS00455
>OP_CpT1_RS00470,-,CpT1_RS00470,CpT1_RS00465
>OP_CpT1_RS00480,-,CpT1_RS00480,CpT1_RS00475
>OP_CpT1_RS00485,+,CpT1_RS00485,CpT1_RS00490,CpT1_RS00495
>OP_CpT1_RS00505,-,CpT1_RS00505,CpT1_RS00500
>OP_CpT1_RS00515,-,CpT1_RS00515,CpT1_RS00510
>OP_CpT1_RS00525,+,CpT1_RS00525,CpT1_RS00530,CpT1_RS00535,CpT1_RS00540
>OP_CpT1_RS00555,+,CpT1_RS00555,CpT1_RS00560,CpT1_RS00565
>OP_CpT1_RS00570,+,CpT1_RS00570,CpT1_RS00575
>OP_CpT1_RS00585,-,CpT1_RS00585,CpT1_RS00580
>OP_CpT1_RS00625,+,CpT1_RS00625,CpT1_RS00630,CpT1_RS00635
>OP_CpT1_RS00665,+,CpT1_RS00665,CpT1_RS00670
>OP_CpT1_RS00680,+,CpT1_RS00680,CpT1_RS00685
>OP_CpT1_RS00695,+,CpT1_RS00695,CpT1_RS00700,CpT1_RS00705
>OP_CpT1_RS00725,-,CpT1_RS00725,CpT1_RS00720,CpT1_RS00715
>OP_CpT1_RS00745,+,CpT1_RS00745,CpT1_RS00750
>OP_CpT1_RS00775,-,CpT1_RS00775,CpT1_RS00770,CpT1_RS00765
>OP_CpT1_RS00810,-,CpT1_RS00810,CpT1_RS00805,CpT1_RS00800,CpT1_RS00795,CpT1_RS00790
>OP_CpT1_RS00820,+,CpT1_RS00820,CpT1_RS00825
>OP_CpT1_RS00830,+,CpT1_RS00830,CpT1_RS00835
>OP_CpT1_RS00840,+,CpT1_RS00840,CpT1_RS00845
>OP_CpT1_RS00895,+,CpT1_RS00895,CpT1_RS00900
>OP_CpT1_RS00910,+,CpT1_RS00910,CpT1_RS00915
>OP_CpT1_RS00930,-,CpT1_RS00930,CpT1_RS00925,CpT1_RS00920
>OP_CpT1_RS00945,-,CpT1_RS00945,CpT1_RS00940
>OP_CpT1_RS00975,-,CpT1_RS00975,CpT1_RS00970,CpT1_RS00965,CpT1_RS00960,CpT1_RS00955,CpT1_RS00950
>OP_CpT1_RS00995,-,CpT1_RS00995,CpT1_RS00990
>OP_CpT1_RS10535,-,CpT1_RS10535,CpT1_RS10530
>OP_CpT1_RS01060,+,CpT1_RS01060,CpT1_RS01065,CpT1_RS01070
>OP_CpT1_RS01105,+,CpT1_RS01105,CpT1_RS01110,CpT1_RS01115,CpT1_RS01120
>OP_CpT1_RS01125,+,CpT1_RS01125,CpT1_RS01130,CpT1_RS01135
>OP_CpT1_RS01210,-,CpT1_RS01210,CpT1_RS01205,CpT1_RS01200,CpT1_RS01195,CpT1_RS01190
>OP_CpT1_RS01230,+,CpT1_RS01230,CpT1_RS01235,CpT1_RS01240
>OP_CpT1_RS01255,+,CpT1_RS01255,CpT1_RS01260
>OP_CpT1_RS01290,-,CpT1_RS01290,CpT1_RS01285
>OP_CpT1_RS01310,+,CpT1_RS01310,CpT1_RS01315,CpT1_RS01320
>OP_CpT1_RS01330,+,CpT1_RS01330,CpT1_RS01335
>OP_CpT1_RS01350,+,CpT1_RS01350,CpT1_RS01355
>OP_CpT1_RS01370,+,CpT1_RS01370,CpT1_RS01375
>OP_CpT1_RS01380,+,CpT1_RS01380,CpT1_RS01385,CpT1_RS01390,CpT1_RS01395
>OP_CpT1_RS01415,+,CpT1_RS01415,CpT1_RS01420,CpT1_RS01425,CpT1_RS01430,CpT1_RS01435
>OP_CpT1_RS01455,-,CpT1_RS01455,CpT1_RS01450,CpT1_RS01445,CpT1_RS01440
>OP_CpT1_RS01480,-,CpT1_RS01480,CpT1_RS01475
>OP_CpT1_RS01500,+,CpT1_RS01500,CpT1_RS01505,CpT1_RS01510,CpT1_RS01515
>OP_CpT1_RS01575,+,CpT1_RS01575,CpT1_RS01580
>OP_CpT1_RS01600,+,CpT1_RS01600,CpT1_RS01605
>OP_CpT1_RS01610,+,CpT1_RS01610,CpT1_RS01615,CpT1_RS01620,CpT1_RS01625
>OP_CpT1_RS01645,+,CpT1_RS01645,CpT1_RS01650
>OP_CpT1_RS01660,+,CpT1_RS01660,CpT1_RS01665
>OP_CpT1_RS01670,+,CpT1_RS01670,CpT1_RS01675
>OP_CpT1_RS01685,-,CpT1_RS01685,CpT1_RS01680
>OP_CpT1_RS01700,+,CpT1_RS01700,CpT1_RS01705
>OP_CpT1_RS01750,-,CpT1_RS01750,CpT1_RS01745,CpT1_RS01740,CpT1_RS01735,CpT1_RS01730,CpT1_RS01725
>OP_CpT1_RS01755,+,CpT1_RS01755,CpT1_RS01760,CpT1_RS01765,CpT1_RS01770,CpT1_RS01775,CpT1_RS01780,CpT1_RS01785,CpT1_RS01790,CpT1_RS01795,CpT1_RS01800,CpT1_RS01805
>OP_CpT1_RS01825,-,CpT1_RS01825,CpT1_RS01820,CpT1_RS01815,CpT1_RS01810
>OP_CpT1_RS01830,+,CpT1_RS01830,CpT1_RS01835,CpT1_RS01840
>OP_CpT1_RS01865,+,CpT1_RS01865,CpT1_RS01870,CpT1_RS01875,CpT1_RS01880,CpT1_RS01885,CpT1_RS01890
>OP_CpT1_RS01905,+,CpT1_RS01905,CpT1_RS01910
>OP_CpT1_RS01935,+,CpT1_RS01935,CpT1_RS01940
>OP_CpT1_RS01960,+,CpT1_RS01960,CpT1_RS01965
>OP_CpT1_RS01970,+,CpT1_RS01970,CpT1_RS01975,CpT1_RS01980
>OP_CpT1_RS02015,-,CpT1_RS02015,CpT1_RS02010
>OP_CpT1_RS02020,+,CpT1_RS02020,CpT1_RS02025
>OP_CpT1_RS02030,+,CpT1_RS02030,CpT1_RS02035
>OP_CpT1_RS02040,+,CpT1_RS02040,CpT1_RS02045
>OP_CpT1_RS02055,+,CpT1_RS02055,CpT1_RS02060,CpT1_RS02065
>OP_CpT1_RS02095,+,CpT1_RS02095,CpT1_RS02100,CpT1_RS02105
>OP_CpT1_RS02110,+,CpT1_RS02110,CpT1_RS02115
>OP_CpT1_RS02120,+,CpT1_RS02120,CpT1_RS02125
>OP_CpT1_RS02135,+,CpT1_RS02135,CpT1_RS02140
>OP_CpT1_RS02165,+,CpT1_RS02165,CpT1_RS02170
>OP_CpT1_RS02190,-,CpT1_RS02190,CpT1_RS02185
>OP_CpT1_RS02215,-,CpT1_RS02215,CpT1_RS02210
>OP_CpT1_RS02225,+,CpT1_RS02225,CpT1_RS02230,CpT1_RS02235,CpT1_RS02240
>OP_CpT1_RS02250,+,CpT1_RS02250,CpT1_RS02255
>OP_CpT1_RS02280,+,CpT1_RS02280,CpT1_RS02285,CpT1_RS02290
>OP_CpT1_RS02360,-,CpT1_RS02360,CpT1_RS02355,CpT1_RS02350
>OP_CpT1_RS02435,-,CpT1_RS02435,CpT1_RS02430,CpT1_RS02425
>OP_CpT1_RS02460,+,CpT1_RS02460,CpT1_RS02465
>OP_CpT1_RS02470,+,CpT1_RS02470,CpT1_RS02475,CpT1_RS02480
>OP_CpT1_RS02495,-,CpT1_RS02495,CpT1_RS02490,CpT1_RS02485
>OP_CpT1_RS02565,+,CpT1_RS02565,CpT1_RS02570
>OP_CpT1_RS02580,+,CpT1_RS02580,CpT1_RS02585,CpT1_RS02590
>OP_CpT1_RS02610,+,CpT1_RS02610,CpT1_RS02615
>OP_CpT1_RS02620,+,CpT1_RS02620,CpT1_RS02625
>OP_CpT1_RS02635,-,CpT1_RS02635,CpT1_RS02630
>OP_CpT1_RS02650,+,CpT1_RS02650,CpT1_RS02655
>OP_CpT1_RS02680,-,CpT1_RS02680,CpT1_RS02675
>OP_CpT1_RS02685,+,CpT1_RS02685,CpT1_RS02690
>OP_CpT1_RS02695,+,CpT1_RS02695,CpT1_RS02700,CpT1_RS02705,CpT1_RS02710
>OP_CpT1_RS02715,+,CpT1_RS02715,CpT1_RS02720
>OP_CpT1_RS02750,-,CpT1_RS02750,CpT1_RS02745
>OP_CpT1_RS02775,+,CpT1_RS02775,CpT1_RS02780
>OP_CpT1_RS02790,+,CpT1_RS02790,CpT1_RS02795
>OP_CpT1_RS02815,-,CpT1_RS02815,CpT1_RS02810
>OP_CpT1_RS02830,+,CpT1_RS02830,CpT1_RS02835,CpT1_RS02840,CpT1_RS02845
>OP_CpT1_RS02860,-,CpT1_RS02860,CpT1_RS02855
>OP_CpT1_RS02880,+,CpT1_RS02880,CpT1_RS02885
>OP_CpT1_RS02900,+,CpT1_RS02900,CpT1_RS10590
>OP_CpT1_RS02910,+,CpT1_RS02910,CpT1_RS02915,CpT1_RS02920
>OP_CpT1_RS02945,-,CpT1_RS02945,CpT1_RS02940
>OP_CpT1_RS02980,-,CpT1_RS02980,CpT1_RS02975
>OP_CpT1_RS03045,+,CpT1_RS03045,CpT1_RS03050
>OP_CpT1_RS03095,-,CpT1_RS03095,CpT1_RS03090,CpT1_RS03085,CpT1_RS03080,CpT1_RS03075
>OP_CpT1_RS03100,+,CpT1_RS03100,CpT1_RS03105,CpT1_RS03110,CpT1_RS03115
>OP_CpT1_RS03125,+,CpT1_RS03125,CpT1_RS03130
>OP_CpT1_RS03145,-,CpT1_RS03145,CpT1_RS03140,CpT1_RS03135
>OP_CpT1_RS03165,+,CpT1_RS03165,CpT1_RS03170
>OP_CpT1_RS03200,+,CpT1_RS03200,CpT1_RS03205,CpT1_RS03210
>OP_CpT1_RS03215,+,CpT1_RS03215,CpT1_RS03220,CpT1_RS03225,CpT1_RS03230,CpT1_RS03235
>OP_CpT1_RS03265,-,CpT1_RS03265,CpT1_RS03260,CpT1_RS03255,CpT1_RS03250
>OP_CpT1_RS03270,+,CpT1_RS03270,CpT1_RS03275
>OP_CpT1_RS03280,+,CpT1_RS03280,CpT1_RS03285
>OP_CpT1_RS03295,+,CpT1_RS03295,CpT1_RS03300
>OP_CpT1_RS03315,-,CpT1_RS03315,CpT1_RS03310
>OP_CpT1_RS03325,+,CpT1_RS03325,CpT1_RS03330
>OP_CpT1_RS03335,+,CpT1_RS03335,CpT1_RS03340,CpT1_RS03345
>OP_CpT1_RS10610,-,CpT1_RS10610,CpT1_RS03350
>OP_CpT1_RS03365,+,CpT1_RS03365,CpT1_RS03370
>OP_CpT1_RS03385,+,CpT1_RS03385,CpT1_RS03390,CpT1_RS03395,CpT1_RS03400
>OP_CpT1_RS03420,-,CpT1_RS03420,CpT1_RS03415
>OP_CpT1_RS03460,-,CpT1_RS03460,CpT1_RS03455
>OP_CpT1_RS03465,+,CpT1_RS03465,CpT1_RS03470
