Operon,Orientation,Genes
>OP_CCHOA_RS03955,+,CCHOA_RS03955,CCHOA_RS03960
>OP_CCHOA_RS09520,-,CCHOA_RS09520,CCHOA_RS09515
>OP_CCHOA_RS03625,+,CCHOA_RS03625,CCHOA_RS03630,CCHOA_RS03635
>OP_CCHOA_RS10500,+,CCHOA_RS10500,CCHOA_RS10505
>OP_CCHOA_RS04260,+,CCHOA_RS04260,CCHOA_RS04265
>OP_CCHOA_RS06550,-,CCHOA_RS06550,CCHOA_RS06545
>OP_CCHOA_RS08600,-,CCHOA_RS08600,CCHOA_RS08595,CCHOA_RS08590,CCHOA_RS08585,CCHOA_RS08580,CCHOA_RS08575
>OP_CCHOA_RS02685,+,CCHOA_RS02685,CCHOA_RS02690
>OP_CCHOA_RS00430,-,CCHOA_RS00430,CCHOA_RS00425
>OP_CCHOA_RS07640,+,CCHOA_RS07640,CCHOA_RS07645
>OP_CCHOA_RS08835,-,CCHOA_RS08835,CCHOA_RS08830
>OP_CCHOA_RS04085,-,CCHOA_RS04085,CCHOA_RS04080,CCHOA_RS04075
>OP_CCHOA_RS03815,-,CCHOA_RS03815,CCHOA_RS03810,CCHOA_RS03805
>OP_CCHOA_RS00835,-,CCHOA_RS00835,CCHOA_RS00830
>OP_CCHOA_RS04035,+,CCHOA_RS04035,CCHOA_RS04040
>OP_CCHOA_RS00865,-,CCHOA_RS00865,CCHOA_RS00860
>OP_CCHOA_RS09045,+,CCHOA_RS09045,CCHOA_RS09050,CCHOA_RS09055,CCHOA_RS09060
>OP_CCHOA_RS08465,-,CCHOA_RS08465,CCHOA_RS08460
>OP_CCHOA_RS09350,-,CCHOA_RS09350,CCHOA_RS09345
>OP_CCHOA_RS10205,+,CCHOA_RS10205,CCHOA_RS10210,CCHOA_RS10215
>OP_CCHOA_RS06665,-,CCHOA_RS06665,CCHOA_RS06660
>OP_CCHOA_RS07310,-,CCHOA_RS07310,CCHOA_RS07305
>OP_CCHOA_RS01250,-,CCHOA_RS01250,CCHOA_RS01245
>OP_CCHOA_RS02115,-,CCHOA_RS02115,CCHOA_RS02110
>OP_CCHOA_RS07710,-,CCHOA_RS07710,CCHOA_RS07705
>OP_CCHOA_RS02585,+,CCHOA_RS02585,CCHOA_RS02590
>OP_CCHOA_RS08610,-,CCHOA_RS08610,CCHOA_RS08605
>OP_CCHOA_RS06840,-,CCHOA_RS06840,CCHOA_RS06835
>OP_CCHOA_RS04585,+,CCHOA_RS04585,CCHOA_RS04590
>OP_CCHOA_RS06360,+,CCHOA_RS06360,CCHOA_RS06365
>OP_CCHOA_RS07160,-,CCHOA_RS07160,CCHOA_RS07155
>OP_CCHOA_RS09930,+,CCHOA_RS09930,CCHOA_RS09935
>OP_CCHOA_RS04640,-,CCHOA_RS04640,CCHOA_RS04635
>OP_CCHOA_RS00445,+,CCHOA_RS00445,CCHOA_RS00450
>OP_CCHOA_RS06745,-,CCHOA_RS06745,CCHOA_RS06740,CCHOA_RS06735
>OP_CCHOA_RS09005,-,CCHOA_RS09005,CCHOA_RS09000,CCHOA_RS08995,CCHOA_RS08990,CCHOA_RS08985,CCHOA_RS08980,CCHOA_RS08975
>OP_CCHOA_RS06245,-,CCHOA_RS06245,CCHOA_RS06240
>OP_CCHOA_RS04215,+,CCHOA_RS04215,CCHOA_RS04220,CCHOA_RS04225
>OP_CCHOA_RS01320,-,CCHOA_RS01320,CCHOA_RS01315
>OP_CCHOA_RS04175,+,CCHOA_RS04175,CCHOA_RS04180
>OP_CCHOA_RS09020,-,CCHOA_RS09020,CCHOA_RS09015,CCHOA_RS09010
>OP_CCHOA_RS02290,+,CCHOA_RS02290,CCHOA_RS02295
>OP_CCHOA_RS00300,+,CCHOA_RS00300,CCHOA_RS00305
>OP_CCHOA_RS02230,+,CCHOA_RS02230,CCHOA_RS02235
>OP_CCHOA_RS10105,+,CCHOA_RS10105,CCHOA_RS10110,CCHOA_RS10115
>OP_CCHOA_RS02020,-,CCHOA_RS02020,CCHOA_RS02015
>OP_CCHOA_RS00680,-,CCHOA_RS00680,CCHOA_RS00675,CCHOA_RS00670
>OP_CCHOA_RS08660,+,CCHOA_RS08660,CCHOA_RS08665,CCHOA_RS08670,CCHOA_RS08675
>OP_CCHOA_RS01485,+,CCHOA_RS01485,CCHOA_RS01490
>OP_CCHOA_RS07115,-,CCHOA_RS07115,CCHOA_RS07110
>OP_CCHOA_RS04560,+,CCHOA_RS04560,CCHOA_RS04565
>OP_CCHOA_RS04940,+,CCHOA_RS04940,CCHOA_RS04945
>OP_CCHOA_RS08960,-,CCHOA_RS08960,CCHOA_RS08955,CCHOA_RS08950,CCHOA_RS08945
>OP_CCHOA_RS08535,-,CCHOA_RS08535,CCHOA_RS08530,CCHOA_RS08525
>OP_CCHOA_RS03405,+,CCHOA_RS03405,CCHOA_RS03410
>OP_CCHOA_RS09035,+,CCHOA_RS09035,CCHOA_RS09040
>OP_CCHOA_RS00140,+,CCHOA_RS00140,CCHOA_RS00145,CCHOA_RS00150,CCHOA_RS00155,CCHOA_RS00160,CCHOA_RS00165
>OP_CCHOA_RS07325,+,CCHOA_RS07325,CCHOA_RS07330
>OP_CCHOA_RS04200,+,CCHOA_RS04200,CCHOA_RS04205
>OP_CCHOA_RS05045,-,CCHOA_RS05045,CCHOA_RS05040
>OP_CCHOA_RS08645,+,CCHOA_RS08645,CCHOA_RS08650
>OP_CCHOA_RS00595,+,CCHOA_RS00595,CCHOA_RS00600,CCHOA_RS00605,CCHOA_RS00610,CCHOA_RS00615,CCHOA_RS00620,CCHOA_RS00625
>OP_CCHOA_RS05280,-,CCHOA_RS05280,CCHOA_RS05275
>OP_CCHOA_RS04275,+,CCHOA_RS04275,CCHOA_RS04280
>OP_CCHOA_RS08215,+,CCHOA_RS08215,CCHOA_RS08220
>OP_CCHOA_RS10415,-,CCHOA_RS10415,CCHOA_RS10410,CCHOA_RS10405
>OP_CCHOA_RS07725,-,CCHOA_RS07725,CCHOA_RS07720
>OP_CCHOA_RS06515,-,CCHOA_RS06515,CCHOA_RS06510
>OP_CCHOA_RS07540,-,CCHOA_RS07540,CCHOA_RS07535
>OP_CCHOA_RS09705,-,CCHOA_RS09705,CCHOA_RS09700,CCHOA_RS09695
>OP_CCHOA_RS03550,-,CCHOA_RS03550,CCHOA_RS03545
>OP_CCHOA_RS03735,+,CCHOA_RS03735,CCHOA_RS03740
>OP_CCHOA_RS00115,-,CCHOA_RS00115,CCHOA_RS00110
>OP_CCHOA_RS05250,-,CCHOA_RS05250,CCHOA_RS05245
>OP_CCHOA_RS09570,-,CCHOA_RS09570,CCHOA_RS09565,CCHOA_RS09560
>OP_CCHOA_RS05940,-,CCHOA_RS05940,CCHOA_RS05935
>OP_CCHOA_RS01295,+,CCHOA_RS01295,CCHOA_RS01300
>OP_CCHOA_RS05925,-,CCHOA_RS05925,CCHOA_RS05920
>OP_CCHOA_RS04675,-,CCHOA_RS04675,CCHOA_RS04670
>OP_CCHOA_RS03800,-,CCHOA_RS03800,CCHOA_RS03795,CCHOA_RS03790
>OP_CCHOA_RS03995,-,CCHOA_RS03995,CCHOA_RS03990
>OP_CCHOA_RS05655,-,CCHOA_RS05655,CCHOA_RS05650
>OP_CCHOA_RS03820,+,CCHOA_RS03820,CCHOA_RS03825
>OP_CCHOA_RS08490,+,CCHOA_RS08490,CCHOA_RS08495
>OP_CCHOA_RS08720,-,CCHOA_RS08720,CCHOA_RS08715
>OP_CCHOA_RS07395,+,CCHOA_RS07395,CCHOA_RS07400,CCHOA_RS07405
>OP_CCHOA_RS03315,+,CCHOA_RS03315,CCHOA_RS03320
>OP_CCHOA_RS04615,-,CCHOA_RS04615,CCHOA_RS04610
>OP_CCHOA_RS03095,+,CCHOA_RS03095,CCHOA_RS03100
