Operon,Orientation,Genes
>OP_WA5_RS00015,+,WA5_RS00015,WA5_RS00020
>OP_WA5_RS00055,-,WA5_RS00055,WA5_RS00050
>OP_WA5_RS00060,+,WA5_RS00060,WA5_RS00065
>OP_WA5_RS00100,-,WA5_RS00100,WA5_RS00095
>OP_WA5_RS00105,+,WA5_RS00105,WA5_RS00110
>OP_WA5_RS00115,+,WA5_RS00115,WA5_RS00120
>OP_WA5_RS00160,-,WA5_RS00160,WA5_RS00155
>OP_WA5_RS00165,+,WA5_RS00165,WA5_RS00170,WA5_RS00175,WA5_RS00180
>OP_WA5_RS00205,+,WA5_RS00205,WA5_RS00210,WA5_RS00215
>OP_WA5_RS00255,-,WA5_RS00255,WA5_RS00250,WA5_RS00245,WA5_RS00240,WA5_RS00235,WA5_RS00230,WA5_RS00225
>OP_WA5_RS00275,-,WA5_RS00275,WA5_RS00270
>OP_WA5_RS00305,-,WA5_RS00305,WA5_RS00300,WA5_RS00295
>OP_WA5_RS00320,+,WA5_RS00320,WA5_RS00325,WA5_RS00330
>OP_WA5_RS00370,+,WA5_RS00370,WA5_RS00375
>OP_WA5_RS00390,+,WA5_RS00390,WA5_RS00395,WA5_RS00400
>OP_WA5_RS00450,-,WA5_RS00450,WA5_RS00445
>OP_WA5_RS00465,+,WA5_RS00465,WA5_RS00470,WA5_RS00475,WA5_RS00480,WA5_RS00485,WA5_RS00490,WA5_RS00495
>OP_WA5_RS00515,-,WA5_RS00515,WA5_RS00510
>OP_WA5_RS00530,-,WA5_RS00530,WA5_RS00525
>OP_WA5_RS00550,+,WA5_RS00550,WA5_RS00555
>OP_WA5_RS00560,+,WA5_RS00560,WA5_RS00565
>OP_WA5_RS00600,-,WA5_RS00600,WA5_RS00595,WA5_RS00590
>OP_WA5_RS00605,+,WA5_RS00605,WA5_RS00610
>OP_WA5_RS00620,-,WA5_RS00620,WA5_RS00615
>OP_WA5_RS00645,+,WA5_RS00645,WA5_RS00650
>OP_WA5_RS00665,-,WA5_RS00665,WA5_RS00660
>OP_WA5_RS15585,-,WA5_RS15585,WA5_RS00670
>OP_WA5_RS00675,+,WA5_RS00675,WA5_RS00680,WA5_RS00685,WA5_RS00690,WA5_RS00695
>OP_WA5_RS00710,+,WA5_RS00710,WA5_RS00715
>OP_WA5_RS00735,-,WA5_RS00735,WA5_RS00730
>OP_WA5_RS00760,+,WA5_RS00760,WA5_RS00765,WA5_RS00770,WA5_RS00775,WA5_RS00780,WA5_RS00785
>OP_WA5_RS00815,+,WA5_RS00815,WA5_RS00820
>OP_WA5_RS00835,+,WA5_RS00835,WA5_RS00840,WA5_RS00845,WA5_RS00850,WA5_RS00855,WA5_RS00860,WA5_RS00865
>OP_WA5_RS00870,+,WA5_RS00870,WA5_RS00875
>OP_WA5_RS00880,+,WA5_RS00880,WA5_RS00885
>OP_WA5_RS00895,+,WA5_RS00895,WA5_RS00900
>OP_WA5_RS00915,+,WA5_RS00915,WA5_RS00920
>OP_WA5_RS00935,-,WA5_RS00935,WA5_RS00930
>OP_WA5_RS00960,+,WA5_RS00960,WA5_RS00965
>OP_WA5_RS00980,-,WA5_RS00980,WA5_RS00975
>OP_WA5_RS00990,-,WA5_RS00990,WA5_RS00985
>OP_WA5_RS01000,+,WA5_RS01000,WA5_RS01005,WA5_RS01010,WA5_RS01015,WA5_RS01020,WA5_RS01025
>OP_WA5_RS01035,-,WA5_RS01035,WA5_RS01030
>OP_WA5_RS01045,-,WA5_RS01045,WA5_RS01040
>OP_WA5_RS01060,-,WA5_RS01060,WA5_RS01055
>OP_WA5_RS01115,-,WA5_RS01115,WA5_RS01110,WA5_RS01105,WA5_RS01100,WA5_RS01095,WA5_RS01090,WA5_RS01085
>OP_WA5_RS01135,-,WA5_RS01135,WA5_RS01130,WA5_RS01125
>OP_WA5_RS01165,+,WA5_RS01165,WA5_RS01170
>OP_WA5_RS01195,+,WA5_RS01195,WA5_RS01200
>OP_WA5_RS01220,+,WA5_RS01220,WA5_RS01225
>OP_WA5_RS01235,+,WA5_RS01235,WA5_RS01240,WA5_RS01245
>OP_WA5_RS01260,-,WA5_RS01260,WA5_RS01255
>OP_WA5_RS01275,+,WA5_RS01275,WA5_RS01280
>OP_WA5_RS01305,-,WA5_RS01305,WA5_RS01300,WA5_RS01295
>OP_WA5_RS01325,+,WA5_RS01325,WA5_RS01330
>OP_WA5_RS01360,+,WA5_RS01360,WA5_RS01365
>OP_WA5_RS01380,+,WA5_RS01380,WA5_RS01385
>OP_WA5_RS01415,-,WA5_RS01415,WA5_RS01410,WA5_RS01405,WA5_RS01400,WA5_RS01395,WA5_RS01390
>OP_WA5_RS01440,-,WA5_RS01440,WA5_RS01435,WA5_RS01430
>OP_WA5_RS01475,+,WA5_RS01475,WA5_RS01480
>OP_WA5_RS01490,-,WA5_RS01490,WA5_RS01485
>OP_WA5_RS01500,+,WA5_RS01500,WA5_RS01505,WA5_RS01510,WA5_RS01515
>OP_WA5_RS01535,+,WA5_RS01535,WA5_RS01540,WA5_RS01545
>OP_WA5_RS01560,-,WA5_RS01560,WA5_RS01555
>OP_WA5_RS01570,+,WA5_RS01570,WA5_RS01575,WA5_RS01580,WA5_RS01585,WA5_RS01590,WA5_RS01595,WA5_RS01600
>OP_WA5_RS01615,+,WA5_RS01615,WA5_RS01620
>OP_WA5_RS01650,+,WA5_RS01650,WA5_RS01655
>OP_WA5_RS01670,+,WA5_RS01670,WA5_RS01675,WA5_RS01680
>OP_WA5_RS01685,+,WA5_RS01685,WA5_RS01690
>OP_WA5_RS01700,-,WA5_RS01700,WA5_RS01695
>OP_WA5_RS01705,+,WA5_RS01705,WA5_RS01710
>OP_WA5_RS01745,-,WA5_RS01745,WA5_RS01740,WA5_RS01735,WA5_RS01730
>OP_WA5_RS01770,-,WA5_RS01770,WA5_RS01765,WA5_RS01760
>OP_WA5_RS01790,+,WA5_RS01790,WA5_RS01795
>OP_WA5_RS01800,+,WA5_RS01800,WA5_RS01805,WA5_RS01810,WA5_RS01815
>OP_WA5_RS01830,+,WA5_RS01830,WA5_RS01835,WA5_RS01840
>OP_WA5_RS01865,-,WA5_RS01865,WA5_RS01860
>OP_WA5_RS01895,+,WA5_RS01895,WA5_RS01900
>OP_WA5_RS01910,+,WA5_RS01910,WA5_RS01915,WA5_RS01920
>OP_WA5_RS01940,+,WA5_RS01940,WA5_RS01945,WA5_RS01950
>OP_WA5_RS01955,+,WA5_RS01955,WA5_RS01960,WA5_RS01965
>OP_WA5_RS01995,-,WA5_RS01995,WA5_RS01990,WA5_RS01985
>OP_WA5_RS02000,+,WA5_RS02000,WA5_RS02005,WA5_RS02010,WA5_RS02015
>OP_WA5_RS02020,+,WA5_RS02020,WA5_RS02025
>OP_WA5_RS02040,-,WA5_RS02040,WA5_RS02035
>OP_WA5_RS02045,+,WA5_RS02045,WA5_RS02050
>OP_WA5_RS02060,+,WA5_RS02060,WA5_RS02065
>OP_WA5_RS02070,+,WA5_RS02070,WA5_RS02075
>OP_WA5_RS02095,+,WA5_RS02095,WA5_RS02100
>OP_WA5_RS02125,+,WA5_RS02125,WA5_RS02130
>OP_WA5_RS02145,+,WA5_RS02145,WA5_RS02150,WA5_RS02155,WA5_RS02160
>OP_WA5_RS02175,-,WA5_RS02175,WA5_RS02170
>OP_WA5_RS02185,+,WA5_RS02185,WA5_RS02190
>OP_WA5_RS02195,+,WA5_RS02195,WA5_RS02200,WA5_RS02205
>OP_WA5_RS02215,+,WA5_RS02215,WA5_RS02220
>OP_WA5_RS02225,+,WA5_RS02225,WA5_RS02230,WA5_RS02235,WA5_RS02240,WA5_RS02245
>OP_WA5_RS02255,+,WA5_RS02255,WA5_RS02260
>OP_WA5_RS02305,-,WA5_RS02305,WA5_RS02300
>OP_WA5_RS02315,-,WA5_RS02315,WA5_RS02310
>OP_WA5_RS02330,-,WA5_RS02330,WA5_RS02325,WA5_RS02320
>OP_WA5_RS02340,-,WA5_RS02340,WA5_RS02335
>OP_WA5_RS02355,-,WA5_RS02355,WA5_RS02350
>OP_WA5_RS02360,+,WA5_RS02360,WA5_RS02365,WA5_RS02370,WA5_RS02375
>OP_WA5_RS02385,+,WA5_RS02385,WA5_RS02390
>OP_WA5_RS02455,+,WA5_RS02455,WA5_RS02460,WA5_RS02465
>OP_WA5_RS02470,+,WA5_RS02470,WA5_RS02475,WA5_RS02480
>OP_WA5_RS02510,+,WA5_RS02510,WA5_RS02515
>OP_WA5_RS02525,+,WA5_RS02525,WA5_RS02530
>OP_WA5_RS02560,-,WA5_RS02560,WA5_RS02555,WA5_RS02550
>OP_WA5_RS02570,+,WA5_RS02570,WA5_RS02575,WA5_RS02580,WA5_RS02585,WA5_RS02590,WA5_RS02595,WA5_RS02600,WA5_RS02605,WA5_RS02610,WA5_RS02615,WA5_RS02620
>OP_WA5_RS02635,+,WA5_RS02635,WA5_RS02640,WA5_RS02645
>OP_WA5_RS02670,-,WA5_RS02670,WA5_RS02665,WA5_RS02660,WA5_RS02655
>OP_WA5_RS02705,-,WA5_RS02705,WA5_RS02700,WA5_RS02695,WA5_RS02690,WA5_RS02685
>OP_WA5_RS02715,+,WA5_RS02715,WA5_RS02720,WA5_RS02725,WA5_RS02730,WA5_RS02735,WA5_RS02740
>OP_WA5_RS02790,-,WA5_RS02790,WA5_RS02785,WA5_RS02780,WA5_RS02775,WA5_RS02770,WA5_RS02765,WA5_RS02760,WA5_RS02755
>OP_WA5_RS02800,+,WA5_RS02800,WA5_RS02805
>OP_WA5_RS02825,+,WA5_RS02825,WA5_RS02830,WA5_RS02835
>OP_WA5_RS02865,-,WA5_RS02865,WA5_RS02860
>OP_WA5_RS02870,+,WA5_RS02870,WA5_RS02875
>OP_WA5_RS02895,-,WA5_RS02895,WA5_RS02890
>OP_WA5_RS02900,+,WA5_RS02900,WA5_RS02905
>OP_WA5_RS02910,+,WA5_RS02910,WA5_RS02915
>OP_WA5_RS02920,+,WA5_RS02920,WA5_RS02925
>OP_WA5_RS02935,+,WA5_RS02935,WA5_RS02940,WA5_RS02945
>OP_WA5_RS02955,+,WA5_RS02955,WA5_RS02960
>OP_WA5_RS02965,+,WA5_RS02965,WA5_RS02970,WA5_RS02975,WA5_RS02980,WA5_RS02985,WA5_RS02990
>OP_WA5_RS03000,+,WA5_RS03000,WA5_RS03005
>OP_WA5_RS03015,+,WA5_RS03015,WA5_RS03020
>OP_WA5_RS03045,+,WA5_RS03045,WA5_RS03050
>OP_WA5_RS03065,+,WA5_RS03065,WA5_RS03070,WA5_RS03075
>OP_WA5_RS03090,+,WA5_RS03090,WA5_RS03095
>OP_WA5_RS03135,-,WA5_RS03135,WA5_RS03130,WA5_RS03125,WA5_RS03120,WA5_RS03115,WA5_RS03110
>OP_WA5_RS03175,-,WA5_RS03175,WA5_RS03170
>OP_WA5_RS03185,-,WA5_RS03185,WA5_RS03180
>OP_WA5_RS03200,+,WA5_RS03200,WA5_RS03205,WA5_RS03210
>OP_WA5_RS03220,+,WA5_RS03220,WA5_RS03225
>OP_WA5_RS03240,+,WA5_RS03240,WA5_RS03245
>OP_WA5_RS03270,+,WA5_RS03270,WA5_RS03275
>OP_WA5_RS03280,+,WA5_RS03280,WA5_RS03285,WA5_RS03290
>OP_WA5_RS03295,-,WA5_RS03295,WA5_RS15620
>OP_WA5_RS03335,-,WA5_RS03335,WA5_RS03330,WA5_RS03325,WA5_RS03320,WA5_RS03315
>OP_WA5_RS03345,+,WA5_RS03345,WA5_RS03350
>OP_WA5_RS03370,-,WA5_RS03370,WA5_RS03365,WA5_RS03360
>OP_WA5_RS03405,-,WA5_RS03405,WA5_RS03400
>OP_WA5_RS03460,+,WA5_RS03460,WA5_RS03465,WA5_RS03470
