Operon,Orientation,Genes
>OP_CVAR_RS00010,+,CVAR_RS00010,CVAR_RS00015,CVAR_RS00020
>OP_CVAR_RS00025,+,CVAR_RS00025,CVAR_RS00030
>OP_CVAR_RS00040,+,CVAR_RS00040,CVAR_RS00045,CVAR_RS00050,CVAR_RS00055
>OP_CVAR_RS00075,+,CVAR_RS00075,CVAR_RS00080
>OP_CVAR_RS00120,+,CVAR_RS00120,CVAR_RS16245
>OP_CVAR_RS00150,+,CVAR_RS00150,CVAR_RS16250,CVAR_RS00155,CVAR_RS00160
>OP_CVAR_RS00170,+,CVAR_RS00170,CVAR_RS00175
>OP_CVAR_RS15820,-,CVAR_RS15820,CVAR_RS00205
>OP_CVAR_RS00225,-,CVAR_RS00225,CVAR_RS00220
>OP_CVAR_RS00255,-,CVAR_RS00255,CVAR_RS00250
>OP_CVAR_RS00260,+,CVAR_RS00260,CVAR_RS00265
>OP_CVAR_RS00275,-,CVAR_RS00275,CVAR_RS00270
>OP_CVAR_RS00280,+,CVAR_RS00280,CVAR_RS16260
>OP_CVAR_RS00310,+,CVAR_RS00310,CVAR_RS00315
>OP_CVAR_RS00325,+,CVAR_RS00325,CVAR_RS00330
>OP_CVAR_RS00380,-,CVAR_RS00380,CVAR_RS00375,CVAR_RS00370,CVAR_RS00365,CVAR_RS00360
>OP_CVAR_RS00430,-,CVAR_RS00430,CVAR_RS00425
>OP_CVAR_RS16275,-,CVAR_RS16275,CVAR_RS00475,CVAR_RS16270,CVAR_RS00470
>OP_CVAR_RS00490,+,CVAR_RS00490,CVAR_RS00495
>OP_CVAR_RS00555,+,CVAR_RS00555,CVAR_RS00560
>OP_CVAR_RS00575,+,CVAR_RS00575,CVAR_RS00580
>OP_CVAR_RS00605,+,CVAR_RS00605,CVAR_RS00610
>OP_CVAR_RS00620,-,CVAR_RS00620,CVAR_RS00615
>OP_CVAR_RS00630,+,CVAR_RS00630,CVAR_RS00635,CVAR_RS00640
>OP_CVAR_RS00680,+,CVAR_RS00680,CVAR_RS00685,CVAR_RS00690,CVAR_RS00695,CVAR_RS00700,CVAR_RS00705
>OP_CVAR_RS00720,+,CVAR_RS00720,CVAR_RS00725
>OP_CVAR_RS00765,-,CVAR_RS00765,CVAR_RS00760,CVAR_RS00755
>OP_CVAR_RS00775,-,CVAR_RS00775,CVAR_RS00770
>OP_CVAR_RS00785,+,CVAR_RS00785,CVAR_RS00790
>OP_CVAR_RS00800,-,CVAR_RS00800,CVAR_RS00795
>OP_CVAR_RS00805,+,CVAR_RS00805,CVAR_RS00810
>OP_CVAR_RS00840,+,CVAR_RS00840,CVAR_RS00845
>OP_CVAR_RS00890,-,CVAR_RS00890,CVAR_RS00885,CVAR_RS00880,CVAR_RS00875,CVAR_RS00870,CVAR_RS00865
>OP_CVAR_RS00900,-,CVAR_RS00900,CVAR_RS00895
>OP_CVAR_RS00905,+,CVAR_RS00905,CVAR_RS00910,CVAR_RS00915,CVAR_RS00920
>OP_CVAR_RS00970,-,CVAR_RS00970,CVAR_RS00965,CVAR_RS00960
>OP_CVAR_RS00975,+,CVAR_RS00975,CVAR_RS00980
>OP_CVAR_RS01020,-,CVAR_RS01020,CVAR_RS01015,CVAR_RS01010,CVAR_RS01005
>OP_CVAR_RS01030,+,CVAR_RS01030,CVAR_RS01035
>OP_CVAR_RS16300,-,CVAR_RS16300,CVAR_RS16295
>OP_CVAR_RS01075,-,CVAR_RS01075,CVAR_RS01070
>OP_CVAR_RS01105,-,CVAR_RS01105,CVAR_RS01100
>OP_CVAR_RS01110,+,CVAR_RS01110,CVAR_RS01115
>OP_CVAR_RS01130,+,CVAR_RS01130,CVAR_RS01135,CVAR_RS01140
>OP_CVAR_RS01155,+,CVAR_RS01155,CVAR_RS01160,CVAR_RS01165
>OP_CVAR_RS01185,-,CVAR_RS01185,CVAR_RS01180,CVAR_RS01175
>OP_CVAR_RS01190,+,CVAR_RS01190,CVAR_RS01195
>OP_CVAR_RS01235,-,CVAR_RS01235,CVAR_RS01230
>OP_CVAR_RS01250,+,CVAR_RS01250,CVAR_RS15830,CVAR_RS01260,CVAR_RS01265
>OP_CVAR_RS01275,+,CVAR_RS01275,CVAR_RS01280,CVAR_RS01285,CVAR_RS01290
>OP_CVAR_RS01295,+,CVAR_RS01295,CVAR_RS01300,CVAR_RS01305
>OP_CVAR_RS01320,+,CVAR_RS01320,CVAR_RS01325,CVAR_RS01330,CVAR_RS01335
>OP_CVAR_RS01360,+,CVAR_RS01360,CVAR_RS01365
>OP_CVAR_RS01380,-,CVAR_RS01380,CVAR_RS01375
>OP_CVAR_RS01400,-,CVAR_RS01400,CVAR_RS01395
>OP_CVAR_RS01415,-,CVAR_RS01415,CVAR_RS01410,CVAR_RS01405
>OP_CVAR_RS01420,+,CVAR_RS01420,CVAR_RS01425
>OP_CVAR_RS01460,-,CVAR_RS01460,CVAR_RS01455
>OP_CVAR_RS01465,+,CVAR_RS01465,CVAR_RS01470
>OP_CVAR_RS01495,+,CVAR_RS01495,CVAR_RS01500
>OP_CVAR_RS01515,-,CVAR_RS01515,CVAR_RS01510,CVAR_RS01505
>OP_CVAR_RS01520,+,CVAR_RS01520,CVAR_RS01525
>OP_CVAR_RS01540,-,CVAR_RS01540,CVAR_RS01535
>OP_CVAR_RS01570,+,CVAR_RS01570,CVAR_RS01575,CVAR_RS01580
>OP_CVAR_RS01590,-,CVAR_RS01590,CVAR_RS01585
>OP_CVAR_RS01610,-,CVAR_RS01610,CVAR_RS01605,CVAR_RS16315
>OP_CVAR_RS01615,+,CVAR_RS01615,CVAR_RS01620
>OP_CVAR_RS01650,-,CVAR_RS01650,CVAR_RS01645,CVAR_RS01640
>OP_CVAR_RS01665,-,CVAR_RS01665,CVAR_RS01660,CVAR_RS01655
>OP_CVAR_RS01685,-,CVAR_RS01685,CVAR_RS01680
>OP_CVAR_RS01690,+,CVAR_RS01690,CVAR_RS01695
>OP_CVAR_RS01705,-,CVAR_RS01705,CVAR_RS15835
>OP_CVAR_RS01720,-,CVAR_RS01720,CVAR_RS01715,CVAR_RS01710
>OP_CVAR_RS01760,-,CVAR_RS01760,CVAR_RS01755
>OP_CVAR_RS01770,+,CVAR_RS01770,CVAR_RS01775
>OP_CVAR_RS01790,-,CVAR_RS01790,CVAR_RS01785
>OP_CVAR_RS01795,+,CVAR_RS01795,CVAR_RS01800
>OP_CVAR_RS01835,+,CVAR_RS01835,CVAR_RS01840
>OP_CVAR_RS16330,-,CVAR_RS16330,CVAR_RS15845
>OP_CVAR_RS01870,-,CVAR_RS01870,CVAR_RS01865,CVAR_RS01860
>OP_CVAR_RS01900,-,CVAR_RS01900,CVAR_RS01895,CVAR_RS01890
>OP_CVAR_RS16350,-,CVAR_RS16350,CVAR_RS01920,CVAR_RS16345,CVAR_RS01915,CVAR_RS01910,CVAR_RS16340,CVAR_RS16335
>OP_CVAR_RS01935,-,CVAR_RS01935,CVAR_RS01930
>OP_CVAR_RS01960,-,CVAR_RS01960,CVAR_RS15855,CVAR_RS01950
>OP_CVAR_RS01990,-,CVAR_RS01990,CVAR_RS01985,CVAR_RS01980
>OP_CVAR_RS02005,+,CVAR_RS02005,CVAR_RS02010,CVAR_RS02015
>OP_CVAR_RS02025,+,CVAR_RS02025,CVAR_RS02030,CVAR_RS02035,CVAR_RS02040
>OP_CVAR_RS02050,+,CVAR_RS02050,CVAR_RS02055,CVAR_RS02060
>OP_CVAR_RS02070,+,CVAR_RS02070,CVAR_RS02075,CVAR_RS02080,CVAR_RS02085
>OP_CVAR_RS02090,+,CVAR_RS02090,CVAR_RS02095,CVAR_RS02100,CVAR_RS02105
>OP_CVAR_RS02110,+,CVAR_RS02110,CVAR_RS02115
>OP_CVAR_RS02120,+,CVAR_RS02120,CVAR_RS02125
>OP_CVAR_RS02140,-,CVAR_RS02140,CVAR_RS02135,CVAR_RS02130
>OP_CVAR_RS02155,+,CVAR_RS02155,CVAR_RS02160
>OP_CVAR_RS02180,+,CVAR_RS02180,CVAR_RS02185,CVAR_RS02190,CVAR_RS02195,CVAR_RS02200,CVAR_RS02205
>OP_CVAR_RS02230,-,CVAR_RS02230,CVAR_RS02225,CVAR_RS02220,CVAR_RS02215
>OP_CVAR_RS02255,+,CVAR_RS02255,CVAR_RS02260
>OP_CVAR_RS02280,+,CVAR_RS02280,CVAR_RS02285
>OP_CVAR_RS02290,+,CVAR_RS02290,CVAR_RS02295
>OP_CVAR_RS02310,+,CVAR_RS02310,CVAR_RS02315,CVAR_RS02320
>OP_CVAR_RS02340,-,CVAR_RS02340,CVAR_RS02335
>OP_CVAR_RS02350,+,CVAR_RS02350,CVAR_RS15870
>OP_CVAR_RS16355,+,CVAR_RS16355,CVAR_RS02370,CVAR_RS02375,CVAR_RS02380
>OP_CVAR_RS02385,+,CVAR_RS02385,CVAR_RS02390,CVAR_RS02395,CVAR_RS02400,CVAR_RS02405
>OP_CVAR_RS02410,+,CVAR_RS02410,CVAR_RS02415
>OP_CVAR_RS02430,-,CVAR_RS02430,CVAR_RS02425,CVAR_RS02420
>OP_CVAR_RS02435,+,CVAR_RS02435,CVAR_RS02440
>OP_CVAR_RS02475,-,CVAR_RS02475,CVAR_RS02470,CVAR_RS02465,CVAR_RS02460,CVAR_RS02455
>OP_CVAR_RS02480,+,CVAR_RS02480,CVAR_RS02485,CVAR_RS02490
>OP_CVAR_RS02540,-,CVAR_RS02540,CVAR_RS02535
>OP_CVAR_RS02550,+,CVAR_RS02550,CVAR_RS02555
>OP_CVAR_RS02565,+,CVAR_RS02565,CVAR_RS02570,CVAR_RS02575,CVAR_RS02580,CVAR_RS02585,CVAR_RS02590,CVAR_RS02595,CVAR_RS02600,CVAR_RS02605,CVAR_RS02610
>OP_CVAR_RS02625,+,CVAR_RS02625,CVAR_RS02630
>OP_CVAR_RS16360,-,CVAR_RS16360,CVAR_RS02650,CVAR_RS02645
>OP_CVAR_RS02665,+,CVAR_RS02665,CVAR_RS02670
>OP_CVAR_RS16365,+,CVAR_RS16365,CVAR_RS02750
>OP_CVAR_RS02775,-,CVAR_RS02775,CVAR_RS02770,CVAR_RS02765
>OP_CVAR_RS02780,+,CVAR_RS02780,CVAR_RS02785
>OP_CVAR_RS02805,-,CVAR_RS02805,CVAR_RS02800,CVAR_RS02795,CVAR_RS16370,CVAR_RS02790
>OP_CVAR_RS16375,+,CVAR_RS16375,CVAR_RS02845
>OP_CVAR_RS02875,-,CVAR_RS02875,CVAR_RS02870
>OP_CVAR_RS02880,+,CVAR_RS02880,CVAR_RS02885,CVAR_RS02890,CVAR_RS02895
>OP_CVAR_RS02900,+,CVAR_RS02900,CVAR_RS02905
>OP_CVAR_RS02950,-,CVAR_RS02950,CVAR_RS02945
>OP_CVAR_RS02970,-,CVAR_RS02970,CVAR_RS02965,CVAR_RS02960,CVAR_RS02955
>OP_CVAR_RS02975,+,CVAR_RS02975,CVAR_RS02980
>OP_CVAR_RS02990,+,CVAR_RS02990,CVAR_RS02995,CVAR_RS03000
>OP_CVAR_RS03020,+,CVAR_RS03020,CVAR_RS03025
>OP_CVAR_RS03050,-,CVAR_RS03050,CVAR_RS03045
>OP_CVAR_RS03055,+,CVAR_RS03055,CVAR_RS03060
>OP_CVAR_RS03065,+,CVAR_RS03065,CVAR_RS03070,CVAR_RS03075,CVAR_RS03080
>OP_CVAR_RS03115,+,CVAR_RS03115,CVAR_RS03120
>OP_CVAR_RS03125,+,CVAR_RS03125,CVAR_RS03130
>OP_CVAR_RS03165,+,CVAR_RS03165,CVAR_RS03170
>OP_CVAR_RS03175,+,CVAR_RS03175,CVAR_RS03180
>OP_CVAR_RS03265,-,CVAR_RS03265,CVAR_RS03260,CVAR_RS03255
>OP_CVAR_RS03275,-,CVAR_RS03275,CVAR_RS03270
>OP_CVAR_RS16380,-,CVAR_RS16380,CVAR_RS03295
>OP_CVAR_RS03340,-,CVAR_RS03340,CVAR_RS03335
>OP_CVAR_RS03355,+,CVAR_RS03355,CVAR_RS03360
>OP_CVAR_RS03370,-,CVAR_RS03370,CVAR_RS03365
>OP_CVAR_RS03410,-,CVAR_RS03410,CVAR_RS15885,CVAR_RS03400,CVAR_RS03395
>OP_CVAR_RS03425,+,CVAR_RS03425,CVAR_RS03430,CVAR_RS03435,CVAR_RS03440
>OP_CVAR_RS03460,-,CVAR_RS03460,CVAR_RS03455
>OP_CVAR_RS03475,-,CVAR_RS03475,CVAR_RS03470,CVAR_RS03465
>OP_CVAR_RS15890,+,CVAR_RS15890,CVAR_RS03490,CVAR_RS03495
>OP_CVAR_RS03505,+,CVAR_RS03505,CVAR_RS03510
>OP_CVAR_RS03555,+,CVAR_RS03555,CVAR_RS03560,CVAR_RS03565,CVAR_RS03570
>OP_CVAR_RS03585,-,CVAR_RS03585,CVAR_RS03580
>OP_CVAR_RS03610,-,CVAR_RS03610,CVAR_RS03605
>OP_CVAR_RS03625,-,CVAR_RS03625,CVAR_RS03620,CVAR_RS03615
>OP_CVAR_RS03635,-,CVAR_RS03635,CVAR_RS03630
>OP_CVAR_RS03655,+,CVAR_RS03655,CVAR_RS03660
>OP_CVAR_RS03670,+,CVAR_RS03670,CVAR_RS03675
>OP_CVAR_RS03680,+,CVAR_RS03680,CVAR_RS03685,CVAR_RS03690
>OP_CVAR_RS03715,-,CVAR_RS03715,CVAR_RS03710
>OP_CVAR_RS03730,+,CVAR_RS03730,CVAR_RS03735
>OP_CVAR_RS03745,-,CVAR_RS03745,CVAR_RS03740
>OP_CVAR_RS03765,+,CVAR_RS03765,CVAR_RS03770
>OP_CVAR_RS03805,+,CVAR_RS03805,CVAR_RS03810
>OP_CVAR_RS03865,+,CVAR_RS03865,CVAR_RS03870,CVAR_RS03875,CVAR_RS03880,CVAR_RS03885
>OP_CVAR_RS03890,+,CVAR_RS03890,CVAR_RS03895,CVAR_RS03900,CVAR_RS03905
>OP_CVAR_RS03915,-,CVAR_RS03915,CVAR_RS03910
>OP_CVAR_RS03940,+,CVAR_RS03940,CVAR_RS03945,CVAR_RS03950
>OP_CVAR_RS03980,-,CVAR_RS03980,CVAR_RS03975
>OP_CVAR_RS03990,-,CVAR_RS03990,CVAR_RS03985
>OP_CVAR_RS04010,-,CVAR_RS04010,CVAR_RS04005
>OP_CVAR_RS04030,-,CVAR_RS04030,CVAR_RS04025
>OP_CVAR_RS04055,-,CVAR_RS04055,CVAR_RS04050
>OP_CVAR_RS04070,+,CVAR_RS04070,CVAR_RS04075,CVAR_RS04080
>OP_CVAR_RS04090,-,CVAR_RS04090,CVAR_RS04085
>OP_CVAR_RS04145,+,CVAR_RS04145,CVAR_RS04150
>OP_CVAR_RS04170,-,CVAR_RS04170,CVAR_RS04165,CVAR_RS04160
>OP_CVAR_RS15905,+,CVAR_RS15905,CVAR_RS04195
>OP_CVAR_RS04205,+,CVAR_RS04205,CVAR_RS04210,CVAR_RS04215,CVAR_RS04220
>OP_CVAR_RS04245,-,CVAR_RS04245,CVAR_RS04240
>OP_CVAR_RS04285,+,CVAR_RS04285,CVAR_RS04290,CVAR_RS04295
>OP_CVAR_RS04310,-,CVAR_RS04310,CVAR_RS04305,CVAR_RS04300
>OP_CVAR_RS04345,-,CVAR_RS04345,CVAR_RS16405
>OP_CVAR_RS04355,+,CVAR_RS04355,CVAR_RS04360
>OP_CVAR_RS04380,+,CVAR_RS04380,CVAR_RS16410
>OP_CVAR_RS04415,+,CVAR_RS04415,CVAR_RS15925,CVAR_RS04425,CVAR_RS04430
>OP_CVAR_RS15930,+,CVAR_RS15930,CVAR_RS15935
>OP_CVAR_RS04445,+,CVAR_RS04445,CVAR_RS04450,CVAR_RS04455
>OP_CVAR_RS04465,+,CVAR_RS04465,CVAR_RS04470,CVAR_RS04475,CVAR_RS04480,CVAR_RS04485,CVAR_RS04490
>OP_CVAR_RS04500,+,CVAR_RS04500,CVAR_RS04505
>OP_CVAR_RS04515,+,CVAR_RS04515,CVAR_RS04520
>OP_CVAR_RS04525,+,CVAR_RS04525,CVAR_RS04530
>OP_CVAR_RS04535,+,CVAR_RS04535,CVAR_RS04540,CVAR_RS04545
>OP_CVAR_RS04550,+,CVAR_RS04550,CVAR_RS04555,CVAR_RS04560
>OP_CVAR_RS04570,+,CVAR_RS04570,CVAR_RS04575,CVAR_RS04580
>OP_CVAR_RS15940,-,CVAR_RS15940,CVAR_RS04595
>OP_CVAR_RS04615,+,CVAR_RS04615,CVAR_RS04620
>OP_CVAR_RS04630,+,CVAR_RS04630,CVAR_RS04635,CVAR_RS04640,CVAR_RS04645,CVAR_RS04650
>OP_CVAR_RS04660,+,CVAR_RS04660,CVAR_RS15945
>OP_CVAR_RS04670,+,CVAR_RS04670,CVAR_RS04675
>OP_CVAR_RS04680,+,CVAR_RS04680,CVAR_RS04685,CVAR_RS04690,CVAR_RS04695
>OP_CVAR_RS04705,+,CVAR_RS04705,CVAR_RS04710,CVAR_RS04715,CVAR_RS15950,CVAR_RS04725
>OP_CVAR_RS04755,+,CVAR_RS04755,CVAR_RS04760
>OP_CVAR_RS04780,+,CVAR_RS04780,CVAR_RS04785
>OP_CVAR_RS04830,+,CVAR_RS04830,CVAR_RS04835,CVAR_RS04840,CVAR_RS04845
>OP_CVAR_RS04870,-,CVAR_RS04870,CVAR_RS04865
>OP_CVAR_RS04880,+,CVAR_RS04880,CVAR_RS04885,CVAR_RS04890,CVAR_RS04895
>OP_CVAR_RS04940,+,CVAR_RS04940,CVAR_RS04945
>OP_CVAR_RS04970,+,CVAR_RS04970,CVAR_RS04975,CVAR_RS04980
>OP_CVAR_RS04990,+,CVAR_RS04990,CVAR_RS04995
>OP_CVAR_RS05000,+,CVAR_RS05000,CVAR_RS05005,CVAR_RS05010,CVAR_RS05015,CVAR_RS05020
>OP_CVAR_RS05040,-,CVAR_RS05040,CVAR_RS05035
