TF_id	chip_prefix	peak_id	chrom	peak_start_1based	peak_end_1based	peak_center_1based	peak_score	peak_signal	neglog10q	strength_tier	nearest_gene	TU_id	gene_list	strand	TSS_like	promoter_start	promoter_end	rel_pos_to_TSS	abs_rel_pos	overlap_bp	mapping_rank	mapping_status	tu_context	genomic_region_chip
A2a	A2a-2-i7	A2a-2-i7_peak_9	NC_006958.1	118881	119558	119391	386	2.05745	33.8444	strong	CGTRNA_RS00585	TU_175	Cgl0106	-	119589	119539	119889	198	198	20	1	primary	inside_transcribed_region	gene_body
A2a	A2a-2-i7	A2a-2-i7_peak_9	NC_006958.1	118881	119558	119391	386	2.05745	33.8444	strong	CGTRNA_RS00585	TU_174	Cgl0105	-	118599	118549	118899	-792	792	19	2	secondary	intergenic_unassigned	gene_body
A2a	A2a-2-i7	A2a-2-i7_peak_1	NC_006958.1	26255	27171	26748	201	2.79668	16.2638	moderate	CGTRNA_RS00145	TU_131	Cgl0025	-	26297	26247	26597	-451	451	343	1	primary	upstream_near_TU	promoter
A2a	A2a-2-i7	A2a-2-i7_peak_4	NC_006958.1	78547	79339	78905	140	2.73431	10.4398	moderate	CGTRNA_RS00410	TU_13	23S rRNA copy A	+	78555	78255	78605	350	350	59	1	primary	inside_transcribed_region	gene_body
A2b	A2b-1-i7	A2b-1-i7_peak_123	NC_006958.1	1809544	1813038	1810995	1310	3.90569	124.486	very_strong	CGTRNA_RS08590	TU_988	Cgl1714-Cgl1715	+	1810541	1810241	1810591	454	454	351	1	primary	inside_transcribed_region	promoter
A2b	A2b-1-i7	A2b-1-i7_peak_123	NC_006958.1	1809544	1813038	1810995	1310	3.90569	124.486	very_strong	CGTRNA_RS08590	TU_989	Cgl1715	+	1811564	1811264	1811614	-569	569	351	2	secondary	upstream_near_TU	promoter
A2b	A2b-1-i7	A2b-1-i7_peak_123	NC_006958.1	1809544	1813038	1810995	1310	3.90569	124.486	very_strong	CGTRNA_RS08590	TU_2431	ppp2	+	1812215	1811915	1812265	-1220	1220	351	3	secondary	intergenic_unassigned	promoter
A2b	A2b-1-i7	A2b-1-i7_peak_123	NC_006958.1	1809544	1813038	1810995	1310	3.90569	124.486	very_strong	CGTRNA_RS08590	TU_2524	res	+	1809761	1809461	1809811	1234	1234	268	4	secondary	intergenic_unassigned	promoter
A2b	A2b-1-i7	A2b-1-i7_peak_123	NC_006958.1	1809544	1813038	1810995	1310	3.90569	124.486	very_strong	CGTRNA_RS08590	TU_990	Cgl1717	+	1812881	1812581	1812931	-1886	1886	351	5	secondary	intergenic_unassigned	promoter
A2b	A2b-1-i7	A2b-1-i7_peak_71	NC_006958.1	1096976	1098272	1097606	1249	4.86178	119.347	very_strong	CGTRNA_RS15580	TU_650	Cgl1047	+	1097229	1096929	1097279	377	377	304	1	primary	inside_transcribed_region	gene_body
