Operon,Orientation,Genes
>OP_EGX79_RS00045,-,EGX79_RS00045,EGX79_RS00040,EGX79_RS00035
>OP_EGX79_RS00060,+,EGX79_RS00060,EGX79_RS00065
>OP_EGX79_RS00115,-,EGX79_RS00115,EGX79_RS00110,EGX79_RS00105,EGX79_RS00100
>OP_EGX79_RS00120,+,EGX79_RS00120,EGX79_RS00125,EGX79_RS00130
>OP_EGX79_RS00165,-,EGX79_RS00165,EGX79_RS00160,EGX79_RS00155
>OP_EGX79_RS00190,-,EGX79_RS00190,EGX79_RS00185,EGX79_RS00180
>OP_EGX79_RS00200,+,EGX79_RS00200,EGX79_RS00205,EGX79_RS00210
>OP_EGX79_RS00220,+,EGX79_RS00220,EGX79_RS00225
>OP_EGX79_RS00235,-,EGX79_RS00235,EGX79_RS00230
>OP_EGX79_RS00240,+,EGX79_RS00240,EGX79_RS00245
>OP_EGX79_RS00265,+,EGX79_RS00265,EGX79_RS00270,EGX79_RS00275
>OP_EGX79_RS00325,-,EGX79_RS00325,EGX79_RS00320,EGX79_RS00315,EGX79_RS00310,EGX79_RS00305
>OP_EGX79_RS00375,-,EGX79_RS00375,EGX79_RS00370
>OP_EGX79_RS00415,+,EGX79_RS00415,EGX79_RS00420,EGX79_RS00425,EGX79_RS00430,EGX79_RS00435,EGX79_RS00440,EGX79_RS00445,EGX79_RS00450
>OP_EGX79_RS00470,-,EGX79_RS00470,EGX79_RS00465
>OP_EGX79_RS00490,-,EGX79_RS00490,EGX79_RS00485
>OP_EGX79_RS00510,+,EGX79_RS00510,EGX79_RS00515,EGX79_RS00520
>OP_EGX79_RS00530,+,EGX79_RS00530,EGX79_RS00535
>OP_EGX79_RS00550,+,EGX79_RS00550,EGX79_RS00555
>OP_EGX79_RS00565,+,EGX79_RS00565,EGX79_RS00570,EGX79_RS00575,EGX79_RS00580,EGX79_RS00585,EGX79_RS00590
>OP_EGX79_RS00605,+,EGX79_RS00605,EGX79_RS00610
>OP_EGX79_RS00625,-,EGX79_RS00625,EGX79_RS00620
>OP_EGX79_RS00630,+,EGX79_RS00630,EGX79_RS00635,EGX79_RS00640,EGX79_RS00645
>OP_EGX79_RS00660,-,EGX79_RS00660,EGX79_RS00655
>OP_EGX79_RS00670,+,EGX79_RS00670,EGX79_RS00675
>OP_EGX79_RS00705,-,EGX79_RS00705,EGX79_RS00700
>OP_EGX79_RS00720,-,EGX79_RS00720,EGX79_RS00715
>OP_EGX79_RS00740,+,EGX79_RS00740,EGX79_RS00745,EGX79_RS00750
>OP_EGX79_RS00770,-,EGX79_RS00770,EGX79_RS00765
>OP_EGX79_RS00800,+,EGX79_RS00800,EGX79_RS00805
>OP_EGX79_RS00850,-,EGX79_RS00850,EGX79_RS00845
>OP_EGX79_RS00890,+,EGX79_RS00890,EGX79_RS00895
>OP_EGX79_RS00910,+,EGX79_RS00910,EGX79_RS00915
>OP_EGX79_RS00935,+,EGX79_RS00935,EGX79_RS00940,EGX79_RS00945,EGX79_RS00950
>OP_EGX79_RS00975,+,EGX79_RS00975,EGX79_RS00980,EGX79_RS00985
>OP_EGX79_RS00990,+,EGX79_RS00990,EGX79_RS00995
>OP_EGX79_RS01005,-,EGX79_RS01005,EGX79_RS01000
>OP_EGX79_RS01025,+,EGX79_RS01025,EGX79_RS01030
>OP_EGX79_RS01045,+,EGX79_RS01045,EGX79_RS01050
>OP_EGX79_RS01055,+,EGX79_RS01055,EGX79_RS01060,EGX79_RS01065,EGX79_RS01070
>OP_EGX79_RS01095,+,EGX79_RS01095,EGX79_RS01100
>OP_EGX79_RS01115,+,EGX79_RS01115,EGX79_RS01120,EGX79_RS01125
>OP_EGX79_RS01140,+,EGX79_RS01140,EGX79_RS01145,EGX79_RS01150,EGX79_RS01155
>OP_EGX79_RS01175,-,EGX79_RS01175,EGX79_RS01170,EGX79_RS01165
>OP_EGX79_RS01220,-,EGX79_RS01220,EGX79_RS01215,EGX79_RS01210,EGX79_RS01205,EGX79_RS01200,EGX79_RS01195
>OP_EGX79_RS01235,-,EGX79_RS01235,EGX79_RS01230
>OP_EGX79_RS01245,-,EGX79_RS01245,EGX79_RS01240
>OP_EGX79_RS01255,-,EGX79_RS01255,EGX79_RS01250
>OP_EGX79_RS01270,-,EGX79_RS01270,EGX79_RS01265
>OP_EGX79_RS01275,+,EGX79_RS01275,EGX79_RS01280
>OP_EGX79_RS01330,+,EGX79_RS01330,EGX79_RS01335,EGX79_RS01340,EGX79_RS01345
>OP_EGX79_RS01375,+,EGX79_RS01375,EGX79_RS01380
>OP_EGX79_RS01385,+,EGX79_RS01385,EGX79_RS01390
>OP_EGX79_RS01395,+,EGX79_RS01395,EGX79_RS01400,EGX79_RS01405
>OP_EGX79_RS01430,+,EGX79_RS01430,EGX79_RS01435
>OP_EGX79_RS01510,-,EGX79_RS01510,EGX79_RS01505,EGX79_RS01500
>OP_EGX79_RS01525,-,EGX79_RS01525,EGX79_RS01520,EGX79_RS01515
>OP_EGX79_RS01550,+,EGX79_RS01550,EGX79_RS01555
>OP_EGX79_RS01560,+,EGX79_RS01560,EGX79_RS01565,EGX79_RS01570,EGX79_RS01575
>OP_EGX79_RS01595,-,EGX79_RS01595,EGX79_RS01590
>OP_EGX79_RS01630,+,EGX79_RS01630,EGX79_RS01635
>OP_EGX79_RS01645,+,EGX79_RS01645,EGX79_RS01650
>OP_EGX79_RS01680,+,EGX79_RS01680,EGX79_RS01685
>OP_EGX79_RS01690,+,EGX79_RS01690,EGX79_RS01695,EGX79_RS01700,EGX79_RS01705,EGX79_RS01710,EGX79_RS01715,EGX79_RS01720
