Operon,Orientation,Genes
>OP_AR0_RS00015,+,AR0_RS00015,AR0_RS00020
>OP_AR0_RS00055,-,AR0_RS00055,AR0_RS00050
>OP_AR0_RS00060,+,AR0_RS00060,AR0_RS00065
>OP_AR0_RS00100,-,AR0_RS00100,AR0_RS00095
>OP_AR0_RS00105,+,AR0_RS00105,AR0_RS00110
>OP_AR0_RS00115,+,AR0_RS00115,AR0_RS00120
>OP_AR0_RS00160,-,AR0_RS00160,AR0_RS00155
>OP_AR0_RS00165,+,AR0_RS00165,AR0_RS00170,AR0_RS00175,AR0_RS00180
>OP_AR0_RS00205,-,AR0_RS00205,AR0_RS00200
>OP_AR0_RS00250,-,AR0_RS00250,AR0_RS00245,AR0_RS00240,AR0_RS00235,AR0_RS00230,AR0_RS00225,AR0_RS00220
>OP_AR0_RS00290,-,AR0_RS00290,AR0_RS00285
>OP_AR0_RS00315,+,AR0_RS00315,AR0_RS00320
>OP_AR0_RS00340,+,AR0_RS00340,AR0_RS00345
>OP_AR0_RS00380,-,AR0_RS00380,AR0_RS00375
>OP_AR0_RS00405,+,AR0_RS00405,AR0_RS00410
>OP_AR0_RS15050,+,AR0_RS15050,AR0_RS00420
>OP_AR0_RS00445,-,AR0_RS00445,AR0_RS00440
>OP_AR0_RS00460,+,AR0_RS00460,AR0_RS00465
>OP_AR0_RS00515,-,AR0_RS00515,AR0_RS00510,AR0_RS00505
>OP_AR0_RS00530,+,AR0_RS00530,AR0_RS00535,AR0_RS00540
>OP_AR0_RS00580,+,AR0_RS00580,AR0_RS00585
>OP_AR0_RS00600,+,AR0_RS00600,AR0_RS00605,AR0_RS00610
>OP_AR0_RS00660,-,AR0_RS00660,AR0_RS00655
>OP_AR0_RS00675,+,AR0_RS00675,AR0_RS00680,AR0_RS00685,AR0_RS00690,AR0_RS00695,AR0_RS00700,AR0_RS00705
>OP_AR0_RS00720,-,AR0_RS00720,AR0_RS00715
>OP_AR0_RS14885,-,AR0_RS14885,AR0_RS14880
>OP_AR0_RS00750,+,AR0_RS00750,AR0_RS00755
>OP_AR0_RS00760,+,AR0_RS00760,AR0_RS00765
>OP_AR0_RS00805,-,AR0_RS00805,AR0_RS00800
>OP_AR0_RS00810,+,AR0_RS00810,AR0_RS00815
>OP_AR0_RS00825,-,AR0_RS00825,AR0_RS00820
